,0,1,2,3,4,Kernel,Optimizer,Fold,Year,Independent Vars,Area,Method,Spatial PCA,Model Name,Notes,Inducing Locations,Epochs/Fold,Inducing Variables
.kernel.kernels[0].variance,0.9429100531147812,,,,,matern32_rbf_intra_sin,lfbgs,0,2023,"Day,Overall_Day,Latitude,Longitude,embay_dist,SST",ES,SVGP,False,5.1,Like 3.6 but with Satellite Data Added In.,500,100,"[[ 2.43000000e+02  8.71258401e-01 -4.28613283e-01  1.50198796e+00
  -9.89337317e-01 -1.00000000e+00]
 [ 2.17000000e+02  1.31817333e-01  3.14999756e-02 -1.25476122e+00
   7.90969765e-01  1.00000000e+00]
 [ 1.87000000e+02 -7.21383899e-01 -1.18421923e+00  3.88510244e-01
  -1.14280133e+00 -1.00000000e+00]
 ...
 [ 2.70000000e+02  1.63913951e+00 -2.80030169e-01 -3.78329653e-02
  -3.26318507e-01 -1.00000000e+00]
 [ 2.71000000e+02  1.66757955e+00  3.47591831e+00  5.63544531e-01
   2.46293359e+00  1.00000000e+00]
 [ 1.66000000e+02 -1.31862476e+00  1.76294485e-01 -1.23391027e+00
   8.09482826e-01  1.00000000e+00]]"
.kernel.kernels[0].lengthscales,3.37015549329035,1.7781387182216322,0.9941652822410684,1.218593271228077,1.6248329140092408,matern32_rbf_intra_sin,lfbgs,0,2023,"Day,Overall_Day,Latitude,Longitude,embay_dist,SST",ES,SVGP,False,5.1,Like 3.6 but with Satellite Data Added In.,500,100,"[[ 2.43000000e+02  8.71258401e-01 -4.28613283e-01  1.50198796e+00
  -9.89337317e-01 -1.00000000e+00]
 [ 2.17000000e+02  1.31817333e-01  3.14999756e-02 -1.25476122e+00
   7.90969765e-01  1.00000000e+00]
 [ 1.87000000e+02 -7.21383899e-01 -1.18421923e+00  3.88510244e-01
  -1.14280133e+00 -1.00000000e+00]
 ...
 [ 2.70000000e+02  1.63913951e+00 -2.80030169e-01 -3.78329653e-02
  -3.26318507e-01 -1.00000000e+00]
 [ 2.71000000e+02  1.66757955e+00  3.47591831e+00  5.63544531e-01
   2.46293359e+00  1.00000000e+00]
 [ 1.66000000e+02 -1.31862476e+00  1.76294485e-01 -1.23391027e+00
   8.09482826e-01  1.00000000e+00]]"
.kernel.kernels[1].variance,1.863328664313808,,,,,matern32_rbf_intra_sin,lfbgs,0,2023,"Day,Overall_Day,Latitude,Longitude,embay_dist,SST",ES,SVGP,False,5.1,Like 3.6 but with Satellite Data Added In.,500,100,"[[ 2.43000000e+02  8.71258401e-01 -4.28613283e-01  1.50198796e+00
  -9.89337317e-01 -1.00000000e+00]
 [ 2.17000000e+02  1.31817333e-01  3.14999756e-02 -1.25476122e+00
   7.90969765e-01  1.00000000e+00]
 [ 1.87000000e+02 -7.21383899e-01 -1.18421923e+00  3.88510244e-01
  -1.14280133e+00 -1.00000000e+00]
 ...
 [ 2.70000000e+02  1.63913951e+00 -2.80030169e-01 -3.78329653e-02
  -3.26318507e-01 -1.00000000e+00]
 [ 2.71000000e+02  1.66757955e+00  3.47591831e+00  5.63544531e-01
   2.46293359e+00  1.00000000e+00]
 [ 1.66000000e+02 -1.31862476e+00  1.76294485e-01 -1.23391027e+00
   8.09482826e-01  1.00000000e+00]]"
.kernel.kernels[1].lengthscales,0.32953098979076445,,,,,matern32_rbf_intra_sin,lfbgs,0,2023,"Day,Overall_Day,Latitude,Longitude,embay_dist,SST",ES,SVGP,False,5.1,Like 3.6 but with Satellite Data Added In.,500,100,"[[ 2.43000000e+02  8.71258401e-01 -4.28613283e-01  1.50198796e+00
  -9.89337317e-01 -1.00000000e+00]
 [ 2.17000000e+02  1.31817333e-01  3.14999756e-02 -1.25476122e+00
   7.90969765e-01  1.00000000e+00]
 [ 1.87000000e+02 -7.21383899e-01 -1.18421923e+00  3.88510244e-01
  -1.14280133e+00 -1.00000000e+00]
 ...
 [ 2.70000000e+02  1.63913951e+00 -2.80030169e-01 -3.78329653e-02
  -3.26318507e-01 -1.00000000e+00]
 [ 2.71000000e+02  1.66757955e+00  3.47591831e+00  5.63544531e-01
   2.46293359e+00  1.00000000e+00]
 [ 1.66000000e+02 -1.31862476e+00  1.76294485e-01 -1.23391027e+00
   8.09482826e-01  1.00000000e+00]]"
.kernel.kernels[2].variance,0.5021291468849232,,,,,matern32_rbf_intra_sin,lfbgs,0,2023,"Day,Overall_Day,Latitude,Longitude,embay_dist,SST",ES,SVGP,False,5.1,Like 3.6 but with Satellite Data Added In.,500,100,"[[ 2.43000000e+02  8.71258401e-01 -4.28613283e-01  1.50198796e+00
  -9.89337317e-01 -1.00000000e+00]
 [ 2.17000000e+02  1.31817333e-01  3.14999756e-02 -1.25476122e+00
   7.90969765e-01  1.00000000e+00]
 [ 1.87000000e+02 -7.21383899e-01 -1.18421923e+00  3.88510244e-01
  -1.14280133e+00 -1.00000000e+00]
 ...
 [ 2.70000000e+02  1.63913951e+00 -2.80030169e-01 -3.78329653e-02
  -3.26318507e-01 -1.00000000e+00]
 [ 2.71000000e+02  1.66757955e+00  3.47591831e+00  5.63544531e-01
   2.46293359e+00  1.00000000e+00]
 [ 1.66000000e+02 -1.31862476e+00  1.76294485e-01 -1.23391027e+00
   8.09482826e-01  1.00000000e+00]]"
.kernel.kernels[2].lengthscales,365.0,,,,,matern32_rbf_intra_sin,lfbgs,0,2023,"Day,Overall_Day,Latitude,Longitude,embay_dist,SST",ES,SVGP,False,5.1,Like 3.6 but with Satellite Data Added In.,500,100,"[[ 2.43000000e+02  8.71258401e-01 -4.28613283e-01  1.50198796e+00
  -9.89337317e-01 -1.00000000e+00]
 [ 2.17000000e+02  1.31817333e-01  3.14999756e-02 -1.25476122e+00
   7.90969765e-01  1.00000000e+00]
 [ 1.87000000e+02 -7.21383899e-01 -1.18421923e+00  3.88510244e-01
  -1.14280133e+00 -1.00000000e+00]
 ...
 [ 2.70000000e+02  1.63913951e+00 -2.80030169e-01 -3.78329653e-02
  -3.26318507e-01 -1.00000000e+00]
 [ 2.71000000e+02  1.66757955e+00  3.47591831e+00  5.63544531e-01
   2.46293359e+00  1.00000000e+00]
 [ 1.66000000e+02 -1.31862476e+00  1.76294485e-01 -1.23391027e+00
   8.09482826e-01  1.00000000e+00]]"
.kernel.kernels[3].kernels[0].variance,0.8105701361695274,,,,,matern32_rbf_intra_sin,lfbgs,0,2023,"Day,Overall_Day,Latitude,Longitude,embay_dist,SST",ES,SVGP,False,5.1,Like 3.6 but with Satellite Data Added In.,500,100,"[[ 2.43000000e+02  8.71258401e-01 -4.28613283e-01  1.50198796e+00
  -9.89337317e-01 -1.00000000e+00]
 [ 2.17000000e+02  1.31817333e-01  3.14999756e-02 -1.25476122e+00
   7.90969765e-01  1.00000000e+00]
 [ 1.87000000e+02 -7.21383899e-01 -1.18421923e+00  3.88510244e-01
  -1.14280133e+00 -1.00000000e+00]
 ...
 [ 2.70000000e+02  1.63913951e+00 -2.80030169e-01 -3.78329653e-02
  -3.26318507e-01 -1.00000000e+00]
 [ 2.71000000e+02  1.66757955e+00  3.47591831e+00  5.63544531e-01
   2.46293359e+00  1.00000000e+00]
 [ 1.66000000e+02 -1.31862476e+00  1.76294485e-01 -1.23391027e+00
   8.09482826e-01  1.00000000e+00]]"
.kernel.kernels[3].kernels[1].variance,0.8105701361695297,,,,,matern32_rbf_intra_sin,lfbgs,0,2023,"Day,Overall_Day,Latitude,Longitude,embay_dist,SST",ES,SVGP,False,5.1,Like 3.6 but with Satellite Data Added In.,500,100,"[[ 2.43000000e+02  8.71258401e-01 -4.28613283e-01  1.50198796e+00
  -9.89337317e-01 -1.00000000e+00]
 [ 2.17000000e+02  1.31817333e-01  3.14999756e-02 -1.25476122e+00
   7.90969765e-01  1.00000000e+00]
 [ 1.87000000e+02 -7.21383899e-01 -1.18421923e+00  3.88510244e-01
  -1.14280133e+00 -1.00000000e+00]
 ...
 [ 2.70000000e+02  1.63913951e+00 -2.80030169e-01 -3.78329653e-02
  -3.26318507e-01 -1.00000000e+00]
 [ 2.71000000e+02  1.66757955e+00  3.47591831e+00  5.63544531e-01
   2.46293359e+00  1.00000000e+00]
 [ 1.66000000e+02 -1.31862476e+00  1.76294485e-01 -1.23391027e+00
   8.09482826e-01  1.00000000e+00]]"
.kernel.kernels[3].kernels[1].lengthscales,365.0,,,,,matern32_rbf_intra_sin,lfbgs,0,2023,"Day,Overall_Day,Latitude,Longitude,embay_dist,SST",ES,SVGP,False,5.1,Like 3.6 but with Satellite Data Added In.,500,100,"[[ 2.43000000e+02  8.71258401e-01 -4.28613283e-01  1.50198796e+00
  -9.89337317e-01 -1.00000000e+00]
 [ 2.17000000e+02  1.31817333e-01  3.14999756e-02 -1.25476122e+00
   7.90969765e-01  1.00000000e+00]
 [ 1.87000000e+02 -7.21383899e-01 -1.18421923e+00  3.88510244e-01
  -1.14280133e+00 -1.00000000e+00]
 ...
 [ 2.70000000e+02  1.63913951e+00 -2.80030169e-01 -3.78329653e-02
  -3.26318507e-01 -1.00000000e+00]
 [ 2.71000000e+02  1.66757955e+00  3.47591831e+00  5.63544531e-01
   2.46293359e+00  1.00000000e+00]
 [ 1.66000000e+02 -1.31862476e+00  1.76294485e-01 -1.23391027e+00
   8.09482826e-01  1.00000000e+00]]"
.kernel.kernels[0].variance,0.9914503607066589,,,,,matern32_rbf_intra_sin,lfbgs,1,2023,"Day,Overall_Day,Latitude,Longitude,embay_dist,SST",ES,SVGP,False,5.1,Like 3.6 but with Satellite Data Added In.,500,100,"[[ 1.72000000e+02 -1.15613102e+00 -7.91130794e-01 -9.17830534e-01
  -2.65714462e-01  1.00000000e+00]
 [ 1.73000000e+02 -1.12776761e+00  5.77405615e-02  6.33959400e-01
  -5.01116677e-01 -1.00000000e+00]
 [ 2.63000000e+02  1.42493979e+00  5.77405615e-02  6.33959400e-01
  -5.01116677e-01 -1.00000000e+00]
 ...
 [ 2.61000000e+02  1.36821296e+00 -3.87557523e-01  1.26392884e+00
  -9.03936662e-01 -1.00000000e+00]
 [ 1.62000000e+02 -1.43976518e+00 -3.87557523e-01  1.26392884e+00
  -9.03936662e-01  1.00000000e+00]
 [ 2.51000000e+02  1.08457880e+00  5.77405615e-02  6.33959400e-01
  -5.01116677e-01  1.00000000e+00]]"
