,0,1,2,3,4,Kernel,Optimizer,Fold,Year,Independent Vars,Area,Method,Spatial PCA,Model Name,Notes,Inducing Locations,Epochs/Fold,Inducing Variables
.kernel.kernels[0].variance,1.173811179498332,,,,,matern32_rbf_intra_sin,lfbgs,0,2022,"Day,Overall_Day,Latitude,Longitude,embay_dist,SST",ES,SVGP,False,5.1,Like 3.6 but with Satellite Data Added In.,500,100,"[[ 2.29000000e+02  4.08420300e-01 -7.43103373e-01 -1.39941765e+00
  -1.67195992e-01  1.00000000e+00]
 [ 2.06000000e+02 -2.62846108e-01  1.49397638e-01 -1.61119684e+00
   1.06744095e+00  1.00000000e+00]
 [ 1.92000000e+02 -6.71443051e-01  3.78014476e-01  6.85124436e-01
  -8.94415241e-02  1.00000000e+00]
 ...
 [ 2.60000000e+02  1.31317067e+00  1.90885063e-01  6.73533954e-01
  -2.79009872e-01 -1.00000000e+00]
 [ 2.22000000e+02  2.04121828e-01 -3.40385292e-01  5.68283559e-01
  -6.50205278e-01  1.00000000e+00]
 [ 2.18000000e+02  8.73798440e-02 -1.54831496e+00  7.56697140e-01
  -9.35198982e-01 -1.00000000e+00]]"
.kernel.kernels[0].lengthscales,5.339326412276014,2.5166751977366006,4.538368573560708,1.6494781221804948,2.05445200335855,matern32_rbf_intra_sin,lfbgs,0,2022,"Day,Overall_Day,Latitude,Longitude,embay_dist,SST",ES,SVGP,False,5.1,Like 3.6 but with Satellite Data Added In.,500,100,"[[ 2.29000000e+02  4.08420300e-01 -7.43103373e-01 -1.39941765e+00
  -1.67195992e-01  1.00000000e+00]
 [ 2.06000000e+02 -2.62846108e-01  1.49397638e-01 -1.61119684e+00
   1.06744095e+00  1.00000000e+00]
 [ 1.92000000e+02 -6.71443051e-01  3.78014476e-01  6.85124436e-01
  -8.94415241e-02  1.00000000e+00]
 ...
 [ 2.60000000e+02  1.31317067e+00  1.90885063e-01  6.73533954e-01
  -2.79009872e-01 -1.00000000e+00]
 [ 2.22000000e+02  2.04121828e-01 -3.40385292e-01  5.68283559e-01
  -6.50205278e-01  1.00000000e+00]
 [ 2.18000000e+02  8.73798440e-02 -1.54831496e+00  7.56697140e-01
  -9.35198982e-01 -1.00000000e+00]]"
.kernel.kernels[1].variance,1.8905675464391776,,,,,matern32_rbf_intra_sin,lfbgs,0,2022,"Day,Overall_Day,Latitude,Longitude,embay_dist,SST",ES,SVGP,False,5.1,Like 3.6 but with Satellite Data Added In.,500,100,"[[ 2.29000000e+02  4.08420300e-01 -7.43103373e-01 -1.39941765e+00
  -1.67195992e-01  1.00000000e+00]
 [ 2.06000000e+02 -2.62846108e-01  1.49397638e-01 -1.61119684e+00
   1.06744095e+00  1.00000000e+00]
 [ 1.92000000e+02 -6.71443051e-01  3.78014476e-01  6.85124436e-01
  -8.94415241e-02  1.00000000e+00]
 ...
 [ 2.60000000e+02  1.31317067e+00  1.90885063e-01  6.73533954e-01
  -2.79009872e-01 -1.00000000e+00]
 [ 2.22000000e+02  2.04121828e-01 -3.40385292e-01  5.68283559e-01
  -6.50205278e-01  1.00000000e+00]
 [ 2.18000000e+02  8.73798440e-02 -1.54831496e+00  7.56697140e-01
  -9.35198982e-01 -1.00000000e+00]]"
.kernel.kernels[1].lengthscales,0.5828525986516468,,,,,matern32_rbf_intra_sin,lfbgs,0,2022,"Day,Overall_Day,Latitude,Longitude,embay_dist,SST",ES,SVGP,False,5.1,Like 3.6 but with Satellite Data Added In.,500,100,"[[ 2.29000000e+02  4.08420300e-01 -7.43103373e-01 -1.39941765e+00
  -1.67195992e-01  1.00000000e+00]
 [ 2.06000000e+02 -2.62846108e-01  1.49397638e-01 -1.61119684e+00
   1.06744095e+00  1.00000000e+00]
 [ 1.92000000e+02 -6.71443051e-01  3.78014476e-01  6.85124436e-01
  -8.94415241e-02  1.00000000e+00]
 ...
 [ 2.60000000e+02  1.31317067e+00  1.90885063e-01  6.73533954e-01
  -2.79009872e-01 -1.00000000e+00]
 [ 2.22000000e+02  2.04121828e-01 -3.40385292e-01  5.68283559e-01
  -6.50205278e-01  1.00000000e+00]
 [ 2.18000000e+02  8.73798440e-02 -1.54831496e+00  7.56697140e-01
  -9.35198982e-01 -1.00000000e+00]]"
.kernel.kernels[2].variance,0.47074994797852665,,,,,matern32_rbf_intra_sin,lfbgs,0,2022,"Day,Overall_Day,Latitude,Longitude,embay_dist,SST",ES,SVGP,False,5.1,Like 3.6 but with Satellite Data Added In.,500,100,"[[ 2.29000000e+02  4.08420300e-01 -7.43103373e-01 -1.39941765e+00
  -1.67195992e-01  1.00000000e+00]
 [ 2.06000000e+02 -2.62846108e-01  1.49397638e-01 -1.61119684e+00
   1.06744095e+00  1.00000000e+00]
 [ 1.92000000e+02 -6.71443051e-01  3.78014476e-01  6.85124436e-01
  -8.94415241e-02  1.00000000e+00]
 ...
 [ 2.60000000e+02  1.31317067e+00  1.90885063e-01  6.73533954e-01
  -2.79009872e-01 -1.00000000e+00]
 [ 2.22000000e+02  2.04121828e-01 -3.40385292e-01  5.68283559e-01
  -6.50205278e-01  1.00000000e+00]
 [ 2.18000000e+02  8.73798440e-02 -1.54831496e+00  7.56697140e-01
  -9.35198982e-01 -1.00000000e+00]]"
.kernel.kernels[2].lengthscales,365.0,,,,,matern32_rbf_intra_sin,lfbgs,0,2022,"Day,Overall_Day,Latitude,Longitude,embay_dist,SST",ES,SVGP,False,5.1,Like 3.6 but with Satellite Data Added In.,500,100,"[[ 2.29000000e+02  4.08420300e-01 -7.43103373e-01 -1.39941765e+00
  -1.67195992e-01  1.00000000e+00]
 [ 2.06000000e+02 -2.62846108e-01  1.49397638e-01 -1.61119684e+00
   1.06744095e+00  1.00000000e+00]
 [ 1.92000000e+02 -6.71443051e-01  3.78014476e-01  6.85124436e-01
  -8.94415241e-02  1.00000000e+00]
 ...
 [ 2.60000000e+02  1.31317067e+00  1.90885063e-01  6.73533954e-01
  -2.79009872e-01 -1.00000000e+00]
 [ 2.22000000e+02  2.04121828e-01 -3.40385292e-01  5.68283559e-01
  -6.50205278e-01  1.00000000e+00]
 [ 2.18000000e+02  8.73798440e-02 -1.54831496e+00  7.56697140e-01
  -9.35198982e-01 -1.00000000e+00]]"
.kernel.kernels[3].kernels[0].variance,1.0182863011986398,,,,,matern32_rbf_intra_sin,lfbgs,0,2022,"Day,Overall_Day,Latitude,Longitude,embay_dist,SST",ES,SVGP,False,5.1,Like 3.6 but with Satellite Data Added In.,500,100,"[[ 2.29000000e+02  4.08420300e-01 -7.43103373e-01 -1.39941765e+00
  -1.67195992e-01  1.00000000e+00]
 [ 2.06000000e+02 -2.62846108e-01  1.49397638e-01 -1.61119684e+00
   1.06744095e+00  1.00000000e+00]
 [ 1.92000000e+02 -6.71443051e-01  3.78014476e-01  6.85124436e-01
  -8.94415241e-02  1.00000000e+00]
 ...
 [ 2.60000000e+02  1.31317067e+00  1.90885063e-01  6.73533954e-01
  -2.79009872e-01 -1.00000000e+00]
 [ 2.22000000e+02  2.04121828e-01 -3.40385292e-01  5.68283559e-01
  -6.50205278e-01  1.00000000e+00]
 [ 2.18000000e+02  8.73798440e-02 -1.54831496e+00  7.56697140e-01
  -9.35198982e-01 -1.00000000e+00]]"
.kernel.kernels[3].kernels[1].variance,1.0182863011986254,,,,,matern32_rbf_intra_sin,lfbgs,0,2022,"Day,Overall_Day,Latitude,Longitude,embay_dist,SST",ES,SVGP,False,5.1,Like 3.6 but with Satellite Data Added In.,500,100,"[[ 2.29000000e+02  4.08420300e-01 -7.43103373e-01 -1.39941765e+00
  -1.67195992e-01  1.00000000e+00]
 [ 2.06000000e+02 -2.62846108e-01  1.49397638e-01 -1.61119684e+00
   1.06744095e+00  1.00000000e+00]
 [ 1.92000000e+02 -6.71443051e-01  3.78014476e-01  6.85124436e-01
  -8.94415241e-02  1.00000000e+00]
 ...
 [ 2.60000000e+02  1.31317067e+00  1.90885063e-01  6.73533954e-01
  -2.79009872e-01 -1.00000000e+00]
 [ 2.22000000e+02  2.04121828e-01 -3.40385292e-01  5.68283559e-01
  -6.50205278e-01  1.00000000e+00]
 [ 2.18000000e+02  8.73798440e-02 -1.54831496e+00  7.56697140e-01
  -9.35198982e-01 -1.00000000e+00]]"
.kernel.kernels[3].kernels[1].lengthscales,365.0,,,,,matern32_rbf_intra_sin,lfbgs,0,2022,"Day,Overall_Day,Latitude,Longitude,embay_dist,SST",ES,SVGP,False,5.1,Like 3.6 but with Satellite Data Added In.,500,100,"[[ 2.29000000e+02  4.08420300e-01 -7.43103373e-01 -1.39941765e+00
  -1.67195992e-01  1.00000000e+00]
 [ 2.06000000e+02 -2.62846108e-01  1.49397638e-01 -1.61119684e+00
   1.06744095e+00  1.00000000e+00]
 [ 1.92000000e+02 -6.71443051e-01  3.78014476e-01  6.85124436e-01
  -8.94415241e-02  1.00000000e+00]
 ...
 [ 2.60000000e+02  1.31317067e+00  1.90885063e-01  6.73533954e-01
  -2.79009872e-01 -1.00000000e+00]
 [ 2.22000000e+02  2.04121828e-01 -3.40385292e-01  5.68283559e-01
  -6.50205278e-01  1.00000000e+00]
 [ 2.18000000e+02  8.73798440e-02 -1.54831496e+00  7.56697140e-01
  -9.35198982e-01 -1.00000000e+00]]"
.kernel.kernels[0].variance,1.2941825517146874,,,,,matern32_rbf_intra_sin,lfbgs,1,2022,"Day,Overall_Day,Latitude,Longitude,embay_dist,SST",ES,SVGP,False,5.1,Like 3.6 but with Satellite Data Added In.,500,100,"[[ 1.83000000e+02 -9.85582686e-01 -1.35919077e+00  7.52381955e-01
  -8.72878123e-01  1.00000000e+00]
 [ 2.41000000e+02  7.32644512e-01 -6.11161302e-01 -1.59230815e+00
  -9.03799599e-02  1.00000000e+00]
 [ 1.82000000e+02 -1.01520729e+00 -1.59247954e+00  3.43761386e-01
  -9.38750031e-01  1.00000000e+00]
 ...
 [ 2.39000000e+02  6.73395298e-01 -2.88129448e-01  5.73467081e-01
  -7.22152953e-01 -1.00000000e+00]
 [ 2.02000000e+02 -4.22715156e-01 -4.19184677e-01  3.82345013e-01
  -7.73249724e-01 -1.00000000e+00]
 [ 2.21000000e+02  1.40152375e-01  2.17958730e-01 -1.82260970e+00
   1.16755934e+00  1.00000000e+00]]"
