,RMSE,Wghted RMSE,Cont RMSE,Discrete RMSE,y_std,Training Time,Kernel,Optimizer,Fold,Year,Independent Vars,Area,Method,Spatial PCA,Model Name,Notes,Inducing Locations,Epochs/Fold,Inducing Variables
0,1.2270313516993687,1.2395175976090826,1.3632249646431966,1.102009730147034,2.3514237445966395,0 days 00:02:38.715583,matern32_rbf_intra_sin,lfbgs,0,2020,"Day,Overall_Day,Latitude,Longitude,embay_dist,SST",ES,SVGP,False,5.1,Like 3.6 but with Satellite Data Added In.,500,100,"[[ 2.45000000e+02  8.76293441e-01 -9.67158619e-01  3.80092248e-01
  -9.48292939e-01 -1.00000000e+00]
 [ 2.44000000e+02  8.46683587e-01  1.72715597e+00  1.09171255e-01
   1.84446802e+00 -1.00000000e+00]
 [ 1.94000000e+02 -6.33809084e-01 -9.67158619e-01  3.80092248e-01
  -9.48292939e-01 -1.00000000e+00]
 ...
 [ 2.55000000e+02  1.17239197e+00  9.77777190e-02 -1.48538978e+00
   5.52487596e-01  1.00000000e+00]
 [ 2.22000000e+02  1.95266812e-01  2.57195562e-01 -4.91878957e-01
   1.31855277e-01  1.00000000e+00]
 [ 1.62000000e+02 -1.58132439e+00 -4.28257417e+00 -2.31385362e+00
  -5.60491941e-01  1.00000000e+00]]"
0,2.221822142585127,2.223822441687884,2.227783824240376,2.2198539899647107,2.6378393007857923,0 days 00:02:49.252648,matern32_rbf_intra_sin,lfbgs,1,2020,"Day,Overall_Day,Latitude,Longitude,embay_dist,SST",ES,SVGP,False,5.1,Like 3.6 but with Satellite Data Added In.,500,100,"[[ 2.48000000e+02  9.17035688e-01 -7.70123666e-01  5.85965834e-01
  -9.49869250e-01 -1.00000000e+00]
 [ 2.65000000e+02  1.42769247e+00  1.82567921e-01 -3.20878895e-01
  -2.06432270e-01 -1.00000000e+00]
 [ 1.97000000e+02 -6.14934666e-01 -1.19178696e-01 -3.09890644e-01
  -8.03170016e-01  1.00000000e+00]
 ...
 [ 1.60000000e+02 -1.72636414e+00  2.97775951e-01  1.26722183e+00
  -1.07975019e+00 -1.00000000e+00]
 [ 1.70000000e+02 -1.42597779e+00  5.72817913e-01 -1.36005530e+00
   1.50084740e+00 -1.00000000e+00]
 [ 1.92000000e+02 -7.65127837e-01  5.60423675e-01 -3.33532382e-01
   3.85493761e-01  1.00000000e+00]]"
0,1.0540850948777418,1.0038327099654771,0.7108989607919766,1.2288136094372308,2.2507645899379694,0 days 00:03:00.189206,matern32_rbf_intra_sin,lfbgs,2,2020,"Day,Overall_Day,Latitude,Longitude,embay_dist,SST",ES,SVGP,False,5.1,Like 3.6 but with Satellite Data Added In.,500,100,"[[ 1.98000000e+02 -5.36742003e-01  1.46709777e-01  1.52779829e-01
  -4.29233492e-01  1.00000000e+00]
 [ 2.46000000e+02  8.94623090e-01  1.70170993e-01 -3.77454700e-01
  -5.39761319e-02  1.00000000e+00]
 [ 2.09000000e+02 -2.08720836e-01  2.55509349e-02  1.02340592e+00
  -7.45347031e-01  1.00000000e+00]
 ...
 [ 1.99000000e+02 -5.06921897e-01 -1.11290049e-01 -3.65062198e-01
  -4.21750275e-01  1.00000000e+00]
 [ 1.90000000e+02 -7.75302852e-01 -8.20940662e-01  5.23078398e-01
  -8.83660858e-01  1.00000000e+00]
 [ 2.39000000e+02  6.85882347e-01  1.23260819e-01 -1.33543574e+00
   4.57418522e-01  1.00000000e+00]]"
0,1.5605996096430683,1.581111625418967,1.7586324265947644,1.38095616592252,2.9714130608622633,0 days 00:02:59.539960,matern32_rbf_intra_sin,lfbgs,3,2020,"Day,Overall_Day,Latitude,Longitude,embay_dist,SST",ES,SVGP,False,5.1,Like 3.6 but with Satellite Data Added In.,500,100,"[[ 2.47000000e+02  9.24245425e-01 -1.50362349e-01  1.23234059e+00
  -7.95319376e-01  1.00000000e+00]
 [ 1.97000000e+02 -5.82051799e-01 -6.96382789e-01  6.76282578e-01
  -8.14233692e-01 -1.00000000e+00]
 [ 1.68000000e+02 -1.45570419e+00  1.05243663e-01 -1.69195643e+00
   5.32743531e-01  1.00000000e+00]
 ...
 [ 1.98000000e+02 -5.51925854e-01  1.06443231e+00 -1.15840675e-01
   1.00803071e+00 -1.00000000e+00]
 [ 2.23000000e+02  2.01222758e-01 -6.96382789e-01  6.76282578e-01
  -8.14233692e-01 -1.00000000e+00]
 [ 2.57000000e+02  1.22550487e+00  1.72742123e-01 -6.30442468e-01
   4.02782021e-02 -1.00000000e+00]]"
0,1.3205895749432879,1.6916134588391885,1.2491311448353684,2.040290070370889,2.2228675321312688,0 days 00:02:41.921176,matern32_rbf_intra_sin,lfbgs,4,2020,"Day,Overall_Day,Latitude,Longitude,embay_dist,SST",ES,SVGP,False,5.1,Like 3.6 but with Satellite Data Added In.,500,100,"[[ 1.83000000e+02 -1.05098576e+00  1.56134324e+00  2.82573555e-01
   1.85977302e+00  1.00000000e+00]
 [ 1.76000000e+02 -1.26329416e+00 -6.27272714e-03  1.52991563e+00
  -3.80177677e-01  1.00000000e+00]
 [ 1.98000000e+02 -5.96039170e-01  1.56134324e+00  2.82573555e-01
   1.85977302e+00 -1.00000000e+00]
 ...
 [ 2.56000000e+02  1.16308763e+00 -7.49350645e-01  8.83672200e-01
  -1.03033732e+00 -1.00000000e+00]
 [ 1.76000000e+02 -1.26329416e+00 -7.49350645e-01  8.83672200e-01
  -1.03033732e+00 -1.00000000e+00]
 [ 2.30000000e+02  3.74513547e-01  2.00475941e+00  2.63053011e-01
   2.54704933e+00  1.00000000e+00]]"
