,RMSE,Wghted RMSE,Cont RMSE,Discrete RMSE,y_std,Training Time,Kernel,Optimizer,Fold,Year,Independent Vars,Area,Method,Spatial PCA,Model Name,Notes,Inducing Locations,Epochs/Fold,Inducing Variables
0,1.1646257456290001,1.2781512548680025,1.0215097152868255,1.49126093029219,2.528977702570202,0 days 00:01:14.555229,matern32_rbf_intra_sin,lfbgs,0,2023,"Day,Overall_Day,Latitude,Longitude,embay_dist,SST",ES,SVGP,False,5.1,Like 3.6 but with Satellite Data Added In.,500,100,"[[ 2.43000000e+02  8.71258401e-01 -4.28613283e-01  1.50198796e+00
  -9.89337317e-01 -1.00000000e+00]
 [ 2.17000000e+02  1.31817333e-01  3.14999756e-02 -1.25476122e+00
   7.90969765e-01  1.00000000e+00]
 [ 1.87000000e+02 -7.21383899e-01 -1.18421923e+00  3.88510244e-01
  -1.14280133e+00 -1.00000000e+00]
 ...
 [ 2.70000000e+02  1.63913951e+00 -2.80030169e-01 -3.78329653e-02
  -3.26318507e-01 -1.00000000e+00]
 [ 2.71000000e+02  1.66757955e+00  3.47591831e+00  5.63544531e-01
   2.46293359e+00  1.00000000e+00]
 [ 1.66000000e+02 -1.31862476e+00  1.76294485e-01 -1.23391027e+00
   8.09482826e-01  1.00000000e+00]]"
0,0.9935906464060393,,,0.9935906464060393,2.3730603375388464,0 days 00:01:23.523817,matern32_rbf_intra_sin,lfbgs,1,2023,"Day,Overall_Day,Latitude,Longitude,embay_dist,SST",ES,SVGP,False,5.1,Like 3.6 but with Satellite Data Added In.,500,100,"[[ 1.72000000e+02 -1.15613102e+00 -7.91130794e-01 -9.17830534e-01
  -2.65714462e-01  1.00000000e+00]
 [ 1.73000000e+02 -1.12776761e+00  5.77405615e-02  6.33959400e-01
  -5.01116677e-01 -1.00000000e+00]
 [ 2.63000000e+02  1.42493979e+00  5.77405615e-02  6.33959400e-01
  -5.01116677e-01 -1.00000000e+00]
 ...
 [ 2.61000000e+02  1.36821296e+00 -3.87557523e-01  1.26392884e+00
  -9.03936662e-01 -1.00000000e+00]
 [ 1.62000000e+02 -1.43976518e+00 -3.87557523e-01  1.26392884e+00
  -9.03936662e-01  1.00000000e+00]
 [ 2.51000000e+02  1.08457880e+00  5.77405615e-02  6.33959400e-01
  -5.01116677e-01  1.00000000e+00]]"
0,1.1917018558842407,,,1.1917018558842407,2.623374060076752,0 days 00:01:22.705913,matern32_rbf_intra_sin,lfbgs,2,2023,"Day,Overall_Day,Latitude,Longitude,embay_dist,SST",ES,SVGP,False,5.1,Like 3.6 but with Satellite Data Added In.,500,100,"[[ 1.93000000e+02 -5.55823030e-01  1.47022240e-01  6.24681057e-01
  -5.04929253e-01 -1.00000000e+00]
 [ 1.94000000e+02 -5.27515862e-01 -8.76075621e-01 -8.56781855e-01
  -2.49763497e-01  1.00000000e+00]
 [ 2.00000000e+02 -3.57672857e-01  3.72370344e-01 -1.07826882e+00
   1.12770723e+00  1.00000000e+00]
 ...
 [ 2.66000000e+02  1.51060020e+00 -8.76075621e-01 -8.56781855e-01
  -2.49763497e-01  1.00000000e+00]
 [ 1.52000000e+02 -1.71641690e+00  1.47022240e-01  6.24681057e-01
  -5.04929253e-01  1.00000000e+00]
 [ 2.16000000e+02  9.52418242e-02 -4.02815020e-01  1.66682116e+00
  -1.16580718e+00 -1.00000000e+00]]"
0,1.5096665127862274,1.5520789464403013,1.497095353531971,1.6051802435862006,2.365379904951233,0 days 00:00:56.463597,matern32_rbf_intra_sin,lfbgs,3,2023,"Day,Overall_Day,Latitude,Longitude,embay_dist,SST",ES,SVGP,False,5.1,Like 3.6 but with Satellite Data Added In.,500,100,"[[ 1.87000000e+02 -7.22152436e-01 -8.33805001e-01  1.17597121e+00
  -1.46519275e+00  1.00000000e+00]
 [ 2.25000000e+02  3.58158807e-01 -7.55717107e-01 -4.43202450e-01
  -6.52995980e-01 -1.00000000e+00]
 [ 2.63000000e+02  1.43847005e+00 -7.55717107e-01 -4.43202450e-01
  -6.52995980e-01  1.00000000e+00]
 ...
 [ 2.43000000e+02  8.69885184e-01 -7.55717107e-01 -4.43202450e-01
  -6.52995980e-01 -1.00000000e+00]
 [ 1.55000000e+02 -1.63188822e+00 -7.55717107e-01 -4.43202450e-01
  -6.52995980e-01 -1.00000000e+00]
 [ 2.20000000e+02  2.16012590e-01  1.12459161e-01 -7.00072699e-01
   5.64383416e-01  1.00000000e+00]]"
0,1.3790722712588181,1.4375917628929014,1.2621852463732155,1.5938094482443077,2.402401795760685,0 days 00:01:12.517401,matern32_rbf_intra_sin,lfbgs,4,2023,"Day,Overall_Day,Latitude,Longitude,embay_dist,SST",ES,SVGP,False,5.1,Like 3.6 but with Satellite Data Added In.,500,100,"[[ 2.61000000e+02  1.38038763e+00 -8.02727679e-01 -1.14869758e+00
   3.64892610e-02 -1.00000000e+00]
 [ 1.77000000e+02 -1.00842380e+00  3.08664697e-01  4.30425340e-01
  -2.70066556e-01 -1.00000000e+00]
 [ 2.28000000e+02  4.41925993e-01  5.08436155e+00  5.13490935e-01
   4.07683334e+00 -1.00000000e+00]
 ...
 [ 1.80000000e+02 -9.23109110e-01 -8.02727679e-01 -1.14869758e+00
   3.64892610e-02  1.00000000e+00]
 [ 2.38000000e+02  7.26308306e-01 -2.74345783e-01  1.07149096e+00
  -7.94644499e-01 -1.00000000e+00]
 [ 1.80000000e+02 -9.23109110e-01  5.53460601e-01 -1.38478527e+00
   1.69138086e+00  1.00000000e+00]]"
