,RMSE,Wghted RMSE,Cont RMSE,Discrete RMSE,y_std,Training Time,Kernel,Optimizer,Fold,Year,Independent Vars,Area,Method,Spatial PCA,Model Name,Notes,Inducing Locations,Epochs/Fold,Inducing Variables
0,1.2707710582462162,,,1.2707710582462162,2.715338183639381,0 days 00:02:15.454801,matern32_rbf_intra_sin,lfbgs,0,2019,"Day,Overall_Day,Latitude,Longitude,embay_dist,SST",ES,SVGP,False,5.1,Like 3.6 but with Satellite Data Added In.,500,100,"[[ 1.85000000e+02 -8.98178416e-01 -7.25887765e-01  3.88263939e-01
  -9.88918053e-01 -1.00000000e+00]
 [ 1.97000000e+02 -5.44432379e-01 -4.17248780e-01  7.82970555e-01
  -9.74963690e-01 -1.00000000e+00]
 [ 2.19000000e+02  1.04102023e-01  5.61066122e-01  9.61737969e-01
  -4.63389815e-01  1.00000000e+00]
 ...
 [ 1.92000000e+02 -6.91826561e-01 -5.39761965e-01  7.40404156e-01
  -8.95553158e-01  1.00000000e+00]
 [ 1.67000000e+02 -1.42879747e+00  1.26327594e+00  1.36559971e+00
   9.69970568e-01 -1.00000000e+00]
 [ 1.71000000e+02 -1.31088213e+00 -5.22276249e+00 -2.30777430e+00
  -2.17486743e-01  1.00000000e+00]]"
0,1.4705051899488826,1.4786173040986452,1.4413762216624164,1.5149431842765815,3.085464423866164,0 days 00:02:36.172181,matern32_rbf_intra_sin,lfbgs,1,2019,"Day,Overall_Day,Latitude,Longitude,embay_dist,SST",ES,SVGP,False,5.1,Like 3.6 but with Satellite Data Added In.,500,100,"[[ 2.70000000e+02  1.60488165e+00  6.98878568e-01  1.31973616e+00
   7.38484092e-01 -1.00000000e+00]
 [ 2.34000000e+02  5.40663285e-01  7.10875792e-01 -6.21666637e-01
   1.12898050e+00  1.00000000e+00]
 [ 1.76000000e+02 -1.17391074e+00 -2.45609721e-01  6.87367425e-01
  -9.92990687e-01  1.00000000e+00]
 ...
 [ 1.98000000e+02 -5.23555076e-01 -5.08601078e-01  2.70793607e-01
  -1.01061877e+00 -1.00000000e+00]
 [ 1.59000000e+02 -1.67645830e+00 -2.45609721e-01  6.87367425e-01
  -9.92990687e-01 -1.00000000e+00]
 [ 2.37000000e+02  6.29348149e-01 -5.04585943e-01  3.43852849e-01
  -8.24679655e-01  1.00000000e+00]]"
0,1.242594842612154,1.3381523051383384,1.221738245582481,1.4452193061176353,2.428551055724904,0 days 00:01:49.731711,matern32_rbf_intra_sin,lfbgs,2,2019,"Day,Overall_Day,Latitude,Longitude,embay_dist,SST",ES,SVGP,False,5.1,Like 3.6 but with Satellite Data Added In.,500,100,"[[ 1.57000000e+02 -1.72451818e+00 -6.38166203e-01  5.07143854e-01
  -1.24717931e+00  1.00000000e+00]
 [ 2.28000000e+02  3.86709692e-01  1.44486366e-01 -2.73382303e-01
  -2.53769577e-01  1.00000000e+00]
 [ 2.13000000e+02 -5.93243651e-02 -6.38166203e-01  5.07143854e-01
  -1.24717931e+00  1.00000000e+00]
 ...
 [ 2.61000000e+02  1.36798462e+00 -4.05715037e-01  8.79090665e-01
  -1.22938947e+00  1.00000000e+00]
 [ 2.24000000e+02  2.67767277e-01 -4.05715037e-01  8.79090665e-01
  -1.22938947e+00  1.00000000e+00]
 [ 2.68000000e+02  1.57613384e+00 -4.14605249e+00 -2.05009689e+00
  -2.76595319e-01  1.00000000e+00]]"
0,1.1526707731260615,1.1400217074036,0.9902751621684156,1.2722633728498034,2.474559482744219,0 days 00:02:37.933662,matern32_rbf_intra_sin,lfbgs,3,2019,"Day,Overall_Day,Latitude,Longitude,embay_dist,SST",ES,SVGP,False,5.1,Like 3.6 but with Satellite Data Added In.,500,100,"[[201.          -0.41277087   0.89508221   0.68890991   0.43517609
   -1.        ]
 [167.          -1.40648931  -0.39583513   0.73801747  -0.88008702
   -1.        ]
 [164.          -1.49417034  -0.39583513   0.73801747  -0.88008702
   -1.        ]
 ...
 [252.           1.07780679  -0.55481225   0.47027641  -0.82780831
    1.        ]
 [206.          -0.2666358    0.7068462   -1.36202746   1.92892441
   -1.        ]
 [240.           0.72708263  -0.28847395   0.7783007   -0.95721731
   -1.        ]]"
0,1.080732419777282,1.1383516317998819,0.9923444139880685,1.2676519393230874,2.3957486959048695,0 days 00:02:22.749394,matern32_rbf_intra_sin,lfbgs,4,2019,"Day,Overall_Day,Latitude,Longitude,embay_dist,SST",ES,SVGP,False,5.1,Like 3.6 but with Satellite Data Added In.,500,100,"[[ 1.93000000e+02 -6.42658452e-01  8.61871577e-02 -1.11444976e+00
   1.12337412e-01 -1.00000000e+00]
 [ 1.74000000e+02 -1.19871190e+00  6.31059956e-01 -3.49144392e-01
   5.81429041e-01 -1.00000000e+00]
 [ 1.55000000e+02 -1.75476534e+00  8.61871577e-02 -1.11444976e+00
   1.12337412e-01 -1.00000000e+00]
 ...
 [ 2.47000000e+02  9.37703973e-01  6.35808206e-01  1.10264704e+00
  -5.67487992e-01  1.00000000e+00]
 [ 2.14000000e+02 -2.80730644e-02 -5.67964244e-01  5.01714766e-01
  -8.95330850e-01  1.00000000e+00]
 [ 2.39000000e+02  7.03576207e-01 -5.67964244e-01  5.01714766e-01
  -8.95330850e-01 -1.00000000e+00]]"
