,0,1,2,3,4,Kernel,Optimizer,Fold,Year,Independent Vars,Area,Method,Spatial PCA,Model Name,Notes,Inducing Locations,Epochs/Fold,Inducing Variables
.kernel.kernels[0].variance,1.4445207493889507,,,,,matern32_rbf_intra_sin,lfbgs,0,2019,"Day,Overall_Day,Latitude,Longitude,embay_dist,SST",ES,SVGP,False,5.1,Like 3.6 but with Satellite Data Added In.,500,100,"[[ 1.85000000e+02 -8.98178416e-01 -7.25887765e-01  3.88263939e-01
  -9.88918053e-01 -1.00000000e+00]
 [ 1.97000000e+02 -5.44432379e-01 -4.17248780e-01  7.82970555e-01
  -9.74963690e-01 -1.00000000e+00]
 [ 2.19000000e+02  1.04102023e-01  5.61066122e-01  9.61737969e-01
  -4.63389815e-01  1.00000000e+00]
 ...
 [ 1.92000000e+02 -6.91826561e-01 -5.39761965e-01  7.40404156e-01
  -8.95553158e-01  1.00000000e+00]
 [ 1.67000000e+02 -1.42879747e+00  1.26327594e+00  1.36559971e+00
   9.69970568e-01 -1.00000000e+00]
 [ 1.71000000e+02 -1.31088213e+00 -5.22276249e+00 -2.30777430e+00
  -2.17486743e-01  1.00000000e+00]]"
.kernel.kernels[0].lengthscales,5.871292053185162,1.4841738723366458,2.869909039371425,2.3101278678344284,1.6450123061037953,matern32_rbf_intra_sin,lfbgs,0,2019,"Day,Overall_Day,Latitude,Longitude,embay_dist,SST",ES,SVGP,False,5.1,Like 3.6 but with Satellite Data Added In.,500,100,"[[ 1.85000000e+02 -8.98178416e-01 -7.25887765e-01  3.88263939e-01
  -9.88918053e-01 -1.00000000e+00]
 [ 1.97000000e+02 -5.44432379e-01 -4.17248780e-01  7.82970555e-01
  -9.74963690e-01 -1.00000000e+00]
 [ 2.19000000e+02  1.04102023e-01  5.61066122e-01  9.61737969e-01
  -4.63389815e-01  1.00000000e+00]
 ...
 [ 1.92000000e+02 -6.91826561e-01 -5.39761965e-01  7.40404156e-01
  -8.95553158e-01  1.00000000e+00]
 [ 1.67000000e+02 -1.42879747e+00  1.26327594e+00  1.36559971e+00
   9.69970568e-01 -1.00000000e+00]
 [ 1.71000000e+02 -1.31088213e+00 -5.22276249e+00 -2.30777430e+00
  -2.17486743e-01  1.00000000e+00]]"
.kernel.kernels[1].variance,2.065042494463771,,,,,matern32_rbf_intra_sin,lfbgs,0,2019,"Day,Overall_Day,Latitude,Longitude,embay_dist,SST",ES,SVGP,False,5.1,Like 3.6 but with Satellite Data Added In.,500,100,"[[ 1.85000000e+02 -8.98178416e-01 -7.25887765e-01  3.88263939e-01
  -9.88918053e-01 -1.00000000e+00]
 [ 1.97000000e+02 -5.44432379e-01 -4.17248780e-01  7.82970555e-01
  -9.74963690e-01 -1.00000000e+00]
 [ 2.19000000e+02  1.04102023e-01  5.61066122e-01  9.61737969e-01
  -4.63389815e-01  1.00000000e+00]
 ...
 [ 1.92000000e+02 -6.91826561e-01 -5.39761965e-01  7.40404156e-01
  -8.95553158e-01  1.00000000e+00]
 [ 1.67000000e+02 -1.42879747e+00  1.26327594e+00  1.36559971e+00
   9.69970568e-01 -1.00000000e+00]
 [ 1.71000000e+02 -1.31088213e+00 -5.22276249e+00 -2.30777430e+00
  -2.17486743e-01  1.00000000e+00]]"
.kernel.kernels[1].lengthscales,0.45610353456999647,,,,,matern32_rbf_intra_sin,lfbgs,0,2019,"Day,Overall_Day,Latitude,Longitude,embay_dist,SST",ES,SVGP,False,5.1,Like 3.6 but with Satellite Data Added In.,500,100,"[[ 1.85000000e+02 -8.98178416e-01 -7.25887765e-01  3.88263939e-01
  -9.88918053e-01 -1.00000000e+00]
 [ 1.97000000e+02 -5.44432379e-01 -4.17248780e-01  7.82970555e-01
  -9.74963690e-01 -1.00000000e+00]
 [ 2.19000000e+02  1.04102023e-01  5.61066122e-01  9.61737969e-01
  -4.63389815e-01  1.00000000e+00]
 ...
 [ 1.92000000e+02 -6.91826561e-01 -5.39761965e-01  7.40404156e-01
  -8.95553158e-01  1.00000000e+00]
 [ 1.67000000e+02 -1.42879747e+00  1.26327594e+00  1.36559971e+00
   9.69970568e-01 -1.00000000e+00]
 [ 1.71000000e+02 -1.31088213e+00 -5.22276249e+00 -2.30777430e+00
  -2.17486743e-01  1.00000000e+00]]"
.kernel.kernels[2].variance,0.5300253160380577,,,,,matern32_rbf_intra_sin,lfbgs,0,2019,"Day,Overall_Day,Latitude,Longitude,embay_dist,SST",ES,SVGP,False,5.1,Like 3.6 but with Satellite Data Added In.,500,100,"[[ 1.85000000e+02 -8.98178416e-01 -7.25887765e-01  3.88263939e-01
  -9.88918053e-01 -1.00000000e+00]
 [ 1.97000000e+02 -5.44432379e-01 -4.17248780e-01  7.82970555e-01
  -9.74963690e-01 -1.00000000e+00]
 [ 2.19000000e+02  1.04102023e-01  5.61066122e-01  9.61737969e-01
  -4.63389815e-01  1.00000000e+00]
 ...
 [ 1.92000000e+02 -6.91826561e-01 -5.39761965e-01  7.40404156e-01
  -8.95553158e-01  1.00000000e+00]
 [ 1.67000000e+02 -1.42879747e+00  1.26327594e+00  1.36559971e+00
   9.69970568e-01 -1.00000000e+00]
 [ 1.71000000e+02 -1.31088213e+00 -5.22276249e+00 -2.30777430e+00
  -2.17486743e-01  1.00000000e+00]]"
.kernel.kernels[2].lengthscales,365.0,,,,,matern32_rbf_intra_sin,lfbgs,0,2019,"Day,Overall_Day,Latitude,Longitude,embay_dist,SST",ES,SVGP,False,5.1,Like 3.6 but with Satellite Data Added In.,500,100,"[[ 1.85000000e+02 -8.98178416e-01 -7.25887765e-01  3.88263939e-01
  -9.88918053e-01 -1.00000000e+00]
 [ 1.97000000e+02 -5.44432379e-01 -4.17248780e-01  7.82970555e-01
  -9.74963690e-01 -1.00000000e+00]
 [ 2.19000000e+02  1.04102023e-01  5.61066122e-01  9.61737969e-01
  -4.63389815e-01  1.00000000e+00]
 ...
 [ 1.92000000e+02 -6.91826561e-01 -5.39761965e-01  7.40404156e-01
  -8.95553158e-01  1.00000000e+00]
 [ 1.67000000e+02 -1.42879747e+00  1.26327594e+00  1.36559971e+00
   9.69970568e-01 -1.00000000e+00]
 [ 1.71000000e+02 -1.31088213e+00 -5.22276249e+00 -2.30777430e+00
  -2.17486743e-01  1.00000000e+00]]"
.kernel.kernels[3].kernels[0].variance,0.9394030952258793,,,,,matern32_rbf_intra_sin,lfbgs,0,2019,"Day,Overall_Day,Latitude,Longitude,embay_dist,SST",ES,SVGP,False,5.1,Like 3.6 but with Satellite Data Added In.,500,100,"[[ 1.85000000e+02 -8.98178416e-01 -7.25887765e-01  3.88263939e-01
  -9.88918053e-01 -1.00000000e+00]
 [ 1.97000000e+02 -5.44432379e-01 -4.17248780e-01  7.82970555e-01
  -9.74963690e-01 -1.00000000e+00]
 [ 2.19000000e+02  1.04102023e-01  5.61066122e-01  9.61737969e-01
  -4.63389815e-01  1.00000000e+00]
 ...
 [ 1.92000000e+02 -6.91826561e-01 -5.39761965e-01  7.40404156e-01
  -8.95553158e-01  1.00000000e+00]
 [ 1.67000000e+02 -1.42879747e+00  1.26327594e+00  1.36559971e+00
   9.69970568e-01 -1.00000000e+00]
 [ 1.71000000e+02 -1.31088213e+00 -5.22276249e+00 -2.30777430e+00
  -2.17486743e-01  1.00000000e+00]]"
.kernel.kernels[3].kernels[1].variance,0.9394030952258794,,,,,matern32_rbf_intra_sin,lfbgs,0,2019,"Day,Overall_Day,Latitude,Longitude,embay_dist,SST",ES,SVGP,False,5.1,Like 3.6 but with Satellite Data Added In.,500,100,"[[ 1.85000000e+02 -8.98178416e-01 -7.25887765e-01  3.88263939e-01
  -9.88918053e-01 -1.00000000e+00]
 [ 1.97000000e+02 -5.44432379e-01 -4.17248780e-01  7.82970555e-01
  -9.74963690e-01 -1.00000000e+00]
 [ 2.19000000e+02  1.04102023e-01  5.61066122e-01  9.61737969e-01
  -4.63389815e-01  1.00000000e+00]
 ...
 [ 1.92000000e+02 -6.91826561e-01 -5.39761965e-01  7.40404156e-01
  -8.95553158e-01  1.00000000e+00]
 [ 1.67000000e+02 -1.42879747e+00  1.26327594e+00  1.36559971e+00
   9.69970568e-01 -1.00000000e+00]
 [ 1.71000000e+02 -1.31088213e+00 -5.22276249e+00 -2.30777430e+00
  -2.17486743e-01  1.00000000e+00]]"
.kernel.kernels[3].kernels[1].lengthscales,365.0,,,,,matern32_rbf_intra_sin,lfbgs,0,2019,"Day,Overall_Day,Latitude,Longitude,embay_dist,SST",ES,SVGP,False,5.1,Like 3.6 but with Satellite Data Added In.,500,100,"[[ 1.85000000e+02 -8.98178416e-01 -7.25887765e-01  3.88263939e-01
  -9.88918053e-01 -1.00000000e+00]
 [ 1.97000000e+02 -5.44432379e-01 -4.17248780e-01  7.82970555e-01
  -9.74963690e-01 -1.00000000e+00]
 [ 2.19000000e+02  1.04102023e-01  5.61066122e-01  9.61737969e-01
  -4.63389815e-01  1.00000000e+00]
 ...
 [ 1.92000000e+02 -6.91826561e-01 -5.39761965e-01  7.40404156e-01
  -8.95553158e-01  1.00000000e+00]
 [ 1.67000000e+02 -1.42879747e+00  1.26327594e+00  1.36559971e+00
   9.69970568e-01 -1.00000000e+00]
 [ 1.71000000e+02 -1.31088213e+00 -5.22276249e+00 -2.30777430e+00
  -2.17486743e-01  1.00000000e+00]]"
.kernel.kernels[0].variance,1.2628064724850054,,,,,matern32_rbf_intra_sin,lfbgs,1,2019,"Day,Overall_Day,Latitude,Longitude,embay_dist,SST",ES,SVGP,False,5.1,Like 3.6 but with Satellite Data Added In.,500,100,"[[ 2.70000000e+02  1.60488165e+00  6.98878568e-01  1.31973616e+00
   7.38484092e-01 -1.00000000e+00]
 [ 2.34000000e+02  5.40663285e-01  7.10875792e-01 -6.21666637e-01
   1.12898050e+00  1.00000000e+00]
 [ 1.76000000e+02 -1.17391074e+00 -2.45609721e-01  6.87367425e-01
  -9.92990687e-01  1.00000000e+00]
 ...
 [ 1.98000000e+02 -5.23555076e-01 -5.08601078e-01  2.70793607e-01
  -1.01061877e+00 -1.00000000e+00]
 [ 1.59000000e+02 -1.67645830e+00 -2.45609721e-01  6.87367425e-01
  -9.92990687e-01 -1.00000000e+00]
 [ 2.37000000e+02  6.29348149e-01 -5.04585943e-01  3.43852849e-01
  -8.24679655e-01  1.00000000e+00]]"
