,0,1,2,3,4,Kernel,Optimizer,Fold,Year,Independent Vars,Area,Method,Spatial PCA,Model Name,Notes,Inducing Locations,Epochs/Fold,Inducing Variables
.kernel.kernels[0].variance,1.3921951028976525,,,,,matern32_rbf_intra_sin,lfbgs,0,2021,"Day,Overall_Day,Latitude,Longitude,embay_dist,SST",ES,SVGP,False,5.1,Like 3.6 but with Satellite Data Added In.,500,100,"[[ 1.63000000e+02 -1.48282372e+00  4.66001230e-01 -1.99180714e+00
   1.37223438e+00  1.00000000e+00]
 [ 1.98000000e+02 -4.56289123e-01  9.80350404e-01  5.51687151e-01
   5.38037947e-01  1.00000000e+00]
 [ 2.37000000e+02  6.87563717e-01  2.43949116e-01 -1.87684671e+00
   8.40114258e-01  1.00000000e+00]
 ...
 [ 2.14000000e+02  1.29838368e-02 -9.82243777e-01  6.05450268e-01
  -7.88639377e-01  1.00000000e+00]
 [ 2.63000000e+02  1.45013228e+00  9.80350404e-01  5.51687151e-01
   5.38037947e-01  1.00000000e+00]
 [ 2.31000000e+02  5.11586357e-01 -1.19646525e+00  1.93296387e-01
  -8.58399357e-01 -1.00000000e+00]]"
.kernel.kernels[0].lengthscales,5.284438043194597,2.1697081062607526,3.0728843908846772,1.4325544772543939,2.077248938807871,matern32_rbf_intra_sin,lfbgs,0,2021,"Day,Overall_Day,Latitude,Longitude,embay_dist,SST",ES,SVGP,False,5.1,Like 3.6 but with Satellite Data Added In.,500,100,"[[ 1.63000000e+02 -1.48282372e+00  4.66001230e-01 -1.99180714e+00
   1.37223438e+00  1.00000000e+00]
 [ 1.98000000e+02 -4.56289123e-01  9.80350404e-01  5.51687151e-01
   5.38037947e-01  1.00000000e+00]
 [ 2.37000000e+02  6.87563717e-01  2.43949116e-01 -1.87684671e+00
   8.40114258e-01  1.00000000e+00]
 ...
 [ 2.14000000e+02  1.29838368e-02 -9.82243777e-01  6.05450268e-01
  -7.88639377e-01  1.00000000e+00]
 [ 2.63000000e+02  1.45013228e+00  9.80350404e-01  5.51687151e-01
   5.38037947e-01  1.00000000e+00]
 [ 2.31000000e+02  5.11586357e-01 -1.19646525e+00  1.93296387e-01
  -8.58399357e-01 -1.00000000e+00]]"
.kernel.kernels[1].variance,1.6525712921798983,,,,,matern32_rbf_intra_sin,lfbgs,0,2021,"Day,Overall_Day,Latitude,Longitude,embay_dist,SST",ES,SVGP,False,5.1,Like 3.6 but with Satellite Data Added In.,500,100,"[[ 1.63000000e+02 -1.48282372e+00  4.66001230e-01 -1.99180714e+00
   1.37223438e+00  1.00000000e+00]
 [ 1.98000000e+02 -4.56289123e-01  9.80350404e-01  5.51687151e-01
   5.38037947e-01  1.00000000e+00]
 [ 2.37000000e+02  6.87563717e-01  2.43949116e-01 -1.87684671e+00
   8.40114258e-01  1.00000000e+00]
 ...
 [ 2.14000000e+02  1.29838368e-02 -9.82243777e-01  6.05450268e-01
  -7.88639377e-01  1.00000000e+00]
 [ 2.63000000e+02  1.45013228e+00  9.80350404e-01  5.51687151e-01
   5.38037947e-01  1.00000000e+00]
 [ 2.31000000e+02  5.11586357e-01 -1.19646525e+00  1.93296387e-01
  -8.58399357e-01 -1.00000000e+00]]"
.kernel.kernels[1].lengthscales,0.6505158190459979,,,,,matern32_rbf_intra_sin,lfbgs,0,2021,"Day,Overall_Day,Latitude,Longitude,embay_dist,SST",ES,SVGP,False,5.1,Like 3.6 but with Satellite Data Added In.,500,100,"[[ 1.63000000e+02 -1.48282372e+00  4.66001230e-01 -1.99180714e+00
   1.37223438e+00  1.00000000e+00]
 [ 1.98000000e+02 -4.56289123e-01  9.80350404e-01  5.51687151e-01
   5.38037947e-01  1.00000000e+00]
 [ 2.37000000e+02  6.87563717e-01  2.43949116e-01 -1.87684671e+00
   8.40114258e-01  1.00000000e+00]
 ...
 [ 2.14000000e+02  1.29838368e-02 -9.82243777e-01  6.05450268e-01
  -7.88639377e-01  1.00000000e+00]
 [ 2.63000000e+02  1.45013228e+00  9.80350404e-01  5.51687151e-01
   5.38037947e-01  1.00000000e+00]
 [ 2.31000000e+02  5.11586357e-01 -1.19646525e+00  1.93296387e-01
  -8.58399357e-01 -1.00000000e+00]]"
.kernel.kernels[2].variance,0.7109933658272205,,,,,matern32_rbf_intra_sin,lfbgs,0,2021,"Day,Overall_Day,Latitude,Longitude,embay_dist,SST",ES,SVGP,False,5.1,Like 3.6 but with Satellite Data Added In.,500,100,"[[ 1.63000000e+02 -1.48282372e+00  4.66001230e-01 -1.99180714e+00
   1.37223438e+00  1.00000000e+00]
 [ 1.98000000e+02 -4.56289123e-01  9.80350404e-01  5.51687151e-01
   5.38037947e-01  1.00000000e+00]
 [ 2.37000000e+02  6.87563717e-01  2.43949116e-01 -1.87684671e+00
   8.40114258e-01  1.00000000e+00]
 ...
 [ 2.14000000e+02  1.29838368e-02 -9.82243777e-01  6.05450268e-01
  -7.88639377e-01  1.00000000e+00]
 [ 2.63000000e+02  1.45013228e+00  9.80350404e-01  5.51687151e-01
   5.38037947e-01  1.00000000e+00]
 [ 2.31000000e+02  5.11586357e-01 -1.19646525e+00  1.93296387e-01
  -8.58399357e-01 -1.00000000e+00]]"
.kernel.kernels[2].lengthscales,365.0,,,,,matern32_rbf_intra_sin,lfbgs,0,2021,"Day,Overall_Day,Latitude,Longitude,embay_dist,SST",ES,SVGP,False,5.1,Like 3.6 but with Satellite Data Added In.,500,100,"[[ 1.63000000e+02 -1.48282372e+00  4.66001230e-01 -1.99180714e+00
   1.37223438e+00  1.00000000e+00]
 [ 1.98000000e+02 -4.56289123e-01  9.80350404e-01  5.51687151e-01
   5.38037947e-01  1.00000000e+00]
 [ 2.37000000e+02  6.87563717e-01  2.43949116e-01 -1.87684671e+00
   8.40114258e-01  1.00000000e+00]
 ...
 [ 2.14000000e+02  1.29838368e-02 -9.82243777e-01  6.05450268e-01
  -7.88639377e-01  1.00000000e+00]
 [ 2.63000000e+02  1.45013228e+00  9.80350404e-01  5.51687151e-01
   5.38037947e-01  1.00000000e+00]
 [ 2.31000000e+02  5.11586357e-01 -1.19646525e+00  1.93296387e-01
  -8.58399357e-01 -1.00000000e+00]]"
.kernel.kernels[3].kernels[0].variance,1.0719504692441133,,,,,matern32_rbf_intra_sin,lfbgs,0,2021,"Day,Overall_Day,Latitude,Longitude,embay_dist,SST",ES,SVGP,False,5.1,Like 3.6 but with Satellite Data Added In.,500,100,"[[ 1.63000000e+02 -1.48282372e+00  4.66001230e-01 -1.99180714e+00
   1.37223438e+00  1.00000000e+00]
 [ 1.98000000e+02 -4.56289123e-01  9.80350404e-01  5.51687151e-01
   5.38037947e-01  1.00000000e+00]
 [ 2.37000000e+02  6.87563717e-01  2.43949116e-01 -1.87684671e+00
   8.40114258e-01  1.00000000e+00]
 ...
 [ 2.14000000e+02  1.29838368e-02 -9.82243777e-01  6.05450268e-01
  -7.88639377e-01  1.00000000e+00]
 [ 2.63000000e+02  1.45013228e+00  9.80350404e-01  5.51687151e-01
   5.38037947e-01  1.00000000e+00]
 [ 2.31000000e+02  5.11586357e-01 -1.19646525e+00  1.93296387e-01
  -8.58399357e-01 -1.00000000e+00]]"
.kernel.kernels[3].kernels[1].variance,1.0719504692441144,,,,,matern32_rbf_intra_sin,lfbgs,0,2021,"Day,Overall_Day,Latitude,Longitude,embay_dist,SST",ES,SVGP,False,5.1,Like 3.6 but with Satellite Data Added In.,500,100,"[[ 1.63000000e+02 -1.48282372e+00  4.66001230e-01 -1.99180714e+00
   1.37223438e+00  1.00000000e+00]
 [ 1.98000000e+02 -4.56289123e-01  9.80350404e-01  5.51687151e-01
   5.38037947e-01  1.00000000e+00]
 [ 2.37000000e+02  6.87563717e-01  2.43949116e-01 -1.87684671e+00
   8.40114258e-01  1.00000000e+00]
 ...
 [ 2.14000000e+02  1.29838368e-02 -9.82243777e-01  6.05450268e-01
  -7.88639377e-01  1.00000000e+00]
 [ 2.63000000e+02  1.45013228e+00  9.80350404e-01  5.51687151e-01
   5.38037947e-01  1.00000000e+00]
 [ 2.31000000e+02  5.11586357e-01 -1.19646525e+00  1.93296387e-01
  -8.58399357e-01 -1.00000000e+00]]"
.kernel.kernels[3].kernels[1].lengthscales,365.0,,,,,matern32_rbf_intra_sin,lfbgs,0,2021,"Day,Overall_Day,Latitude,Longitude,embay_dist,SST",ES,SVGP,False,5.1,Like 3.6 but with Satellite Data Added In.,500,100,"[[ 1.63000000e+02 -1.48282372e+00  4.66001230e-01 -1.99180714e+00
   1.37223438e+00  1.00000000e+00]
 [ 1.98000000e+02 -4.56289123e-01  9.80350404e-01  5.51687151e-01
   5.38037947e-01  1.00000000e+00]
 [ 2.37000000e+02  6.87563717e-01  2.43949116e-01 -1.87684671e+00
   8.40114258e-01  1.00000000e+00]
 ...
 [ 2.14000000e+02  1.29838368e-02 -9.82243777e-01  6.05450268e-01
  -7.88639377e-01  1.00000000e+00]
 [ 2.63000000e+02  1.45013228e+00  9.80350404e-01  5.51687151e-01
   5.38037947e-01  1.00000000e+00]
 [ 2.31000000e+02  5.11586357e-01 -1.19646525e+00  1.93296387e-01
  -8.58399357e-01 -1.00000000e+00]]"
.kernel.kernels[0].variance,1.2498008203278543,,,,,matern32_rbf_intra_sin,lfbgs,1,2021,"Day,Overall_Day,Latitude,Longitude,embay_dist,SST",ES,SVGP,False,5.1,Like 3.6 but with Satellite Data Added In.,500,100,"[[ 2.69000000e+02  1.60287727e+00  5.57938517e-01  5.76722100e-01
   1.84496360e-01 -1.00000000e+00]
 [ 1.81000000e+02 -9.89762240e-01  2.01716872e-01  6.03088881e-01
  -3.88735695e-01  1.00000000e+00]
 [ 1.59000000e+02 -1.63792212e+00 -1.32759174e-01  4.51911691e-01
  -6.15705922e-01  1.00000000e+00]
 ...
 [ 2.29000000e+02  4.24404767e-01 -1.16241915e+00  6.72824976e-01
  -7.85342315e-01  1.00000000e+00]
 [ 2.71000000e+02  1.66180090e+00  1.64016706e-01  9.89947984e-01
  -4.42181409e-01 -1.00000000e+00]
 [ 2.71000000e+02  1.66180090e+00 -1.50348933e-01 -1.02525505e+00
  -5.89294668e-02 -1.00000000e+00]]"
