,RMSE,Wghted RMSE,Cont RMSE,Discrete RMSE,y_std,Training Time,Kernel,Optimizer,Fold,Year,Independent Vars,Area,Method,Spatial PCA,Model Name,Notes,Inducing Locations,Epochs/Fold,Inducing Variables
0,1.6767869785060487,1.5175898727868236,0.9160311385105208,1.9408876828011903,2.3582776942664867,0 days 00:03:30.199723,matern32_rbf_intra_sin,lfbgs,0,2022,"Day,Overall_Day,Latitude,Longitude,embay_dist,SST",ES,SVGP,False,5.1,Like 3.6 but with Satellite Data Added In.,500,100,"[[ 2.29000000e+02  4.08420300e-01 -7.43103373e-01 -1.39941765e+00
  -1.67195992e-01  1.00000000e+00]
 [ 2.06000000e+02 -2.62846108e-01  1.49397638e-01 -1.61119684e+00
   1.06744095e+00  1.00000000e+00]
 [ 1.92000000e+02 -6.71443051e-01  3.78014476e-01  6.85124436e-01
  -8.94415241e-02  1.00000000e+00]
 ...
 [ 2.60000000e+02  1.31317067e+00  1.90885063e-01  6.73533954e-01
  -2.79009872e-01 -1.00000000e+00]
 [ 2.22000000e+02  2.04121828e-01 -3.40385292e-01  5.68283559e-01
  -6.50205278e-01  1.00000000e+00]
 [ 2.18000000e+02  8.73798440e-02 -1.54831496e+00  7.56697140e-01
  -9.35198982e-01 -1.00000000e+00]]"
0,0.9820482880538803,0.9725116927742848,0.8769682083219128,1.0594738065464686,2.5886387763485703,0 days 00:03:33.476353,matern32_rbf_intra_sin,lfbgs,1,2022,"Day,Overall_Day,Latitude,Longitude,embay_dist,SST",ES,SVGP,False,5.1,Like 3.6 but with Satellite Data Added In.,500,100,"[[ 1.83000000e+02 -9.85582686e-01 -1.35919077e+00  7.52381955e-01
  -8.72878123e-01  1.00000000e+00]
 [ 2.41000000e+02  7.32644512e-01 -6.11161302e-01 -1.59230815e+00
  -9.03799599e-02  1.00000000e+00]
 [ 1.82000000e+02 -1.01520729e+00 -1.59247954e+00  3.43761386e-01
  -9.38750031e-01  1.00000000e+00]
 ...
 [ 2.39000000e+02  6.73395298e-01 -2.88129448e-01  5.73467081e-01
  -7.22152953e-01 -1.00000000e+00]
 [ 2.02000000e+02 -4.22715156e-01 -4.19184677e-01  3.82345013e-01
  -7.73249724e-01 -1.00000000e+00]
 [ 2.21000000e+02  1.40152375e-01  2.17958730e-01 -1.82260970e+00
   1.16755934e+00  1.00000000e+00]]"
0,1.1756508973803603,1.245763646985918,1.0706822797271796,1.399104565134972,2.6333000264665576,0 days 00:03:19.580862,matern32_rbf_intra_sin,lfbgs,2,2022,"Day,Overall_Day,Latitude,Longitude,embay_dist,SST",ES,SVGP,False,5.1,Like 3.6 but with Satellite Data Added In.,500,100,"[[ 2.22000000e+02  1.70312357e-01  2.48996613e-01 -1.86570887e-01
  -9.95005308e-02 -1.00000000e+00]
 [ 2.25000000e+02  2.58879744e-01 -3.68630000e-01  2.37707356e-01
  -6.84318830e-01 -1.00000000e+00]
 [ 1.92000000e+02 -7.15361515e-01 -3.68630000e-01  2.37707356e-01
  -6.84318830e-01  1.00000000e+00]
 ...
 [ 2.15000000e+02 -3.63448802e-02  3.09583627e-01  1.04119080e+00
  -3.18539488e-01  1.00000000e+00]
 [ 1.92000000e+02 -7.15361515e-01  4.36389534e-01 -2.10922495e+00
   1.45531451e+00  1.00000000e+00]
 [ 1.92000000e+02 -7.15361515e-01  3.11998004e-01 -2.13204652e+00
   1.43340669e+00  1.00000000e+00]]"
0,1.4204176525956749,1.4927299407020487,1.3946559658433435,1.5847460644135556,2.4080145194303104,0 days 00:02:57.542990,matern32_rbf_intra_sin,lfbgs,3,2022,"Day,Overall_Day,Latitude,Longitude,embay_dist,SST",ES,SVGP,False,5.1,Like 3.6 but with Satellite Data Added In.,500,100,"[[ 2.17000000e+02  7.06853581e-02 -4.04643402e-01  1.14218218e+00
  -1.06122950e+00  1.00000000e+00]
 [ 1.60000000e+02 -1.59723305e+00  1.13784353e-01 -1.44885332e+00
   9.59207206e-01  1.00000000e+00]
 [ 1.74000000e+02 -1.18756888e+00 -7.18777224e-01 -1.23988371e+00
  -2.52425374e-01 -1.00000000e+00]
 ...
 [ 1.94000000e+02 -6.02334352e-01 -3.44407495e-01  7.02613433e-01
  -7.28980014e-01 -1.00000000e+00]
 [ 1.73000000e+02 -1.21683061e+00  1.04143039e-01  1.27118322e+00
  -7.38789169e-01 -1.00000000e+00]
 [ 2.21000000e+02  1.87732264e-01 -7.95819948e-01 -1.25664145e+00
  -3.15885505e-01  1.00000000e+00]]"
0,1.4860766002428791,1.474893687179628,1.0936791867560354,1.7760880083546802,2.343341242003158,0 days 00:03:06.888253,matern32_rbf_intra_sin,lfbgs,4,2022,"Day,Overall_Day,Latitude,Longitude,embay_dist,SST",ES,SVGP,False,5.1,Like 3.6 but with Satellite Data Added In.,500,100,"[[ 2.36000000e+02  6.21832016e-01 -1.67865491e+00  6.63641496e-01
  -9.64486972e-01 -1.00000000e+00]
 [ 2.36000000e+02  6.21832016e-01  6.42509378e-01  5.86033381e-01
   8.21765294e-02  1.00000000e+00]
 [ 2.15000000e+02  5.25382218e-03  5.71842116e-02  1.08590585e+00
  -9.21169281e-01 -1.00000000e+00]
 ...
 [ 1.84000000e+02 -9.04933035e-01 -1.67865491e+00  6.63641496e-01
  -9.64486972e-01  1.00000000e+00]
 [ 2.40000000e+02  7.39275481e-01  3.67033527e-01 -1.90392658e+00
   1.51387146e+00  1.00000000e+00]
 [ 2.04000000e+02 -3.17715708e-01 -1.98124902e+00  2.56198961e-01
  -1.04449638e+00  1.00000000e+00]]"
