,5.1_matern32_rbf_intra_sin_lfbgs_0_2021,5.1_matern32_rbf_intra_sin_lfbgs_1_2021,5.1_matern32_rbf_intra_sin_lfbgs_2_2021,5.1_matern32_rbf_intra_sin_lfbgs_3_2021,5.1_matern32_rbf_intra_sin_lfbgs_4_2021
.kernel.kernels[0].variance,"<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.3921951028976525>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.2498008203278543>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.5976956959083113>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.5583634359767338>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.2093051313726908>"
.kernel.kernels[0].lengthscales,"<Parameter: name=softplus, dtype=float64, shape=[5], fn=""softplus"", numpy=array([5.28443804, 2.16970811, 3.07288439, 1.43255448, 2.07724894])>","<Parameter: name=softplus, dtype=float64, shape=[5], fn=""softplus"", numpy=array([5.62631779, 2.08506334, 4.57459672, 1.72678477, 2.02661912])>","<Parameter: name=softplus, dtype=float64, shape=[5], fn=""softplus"", numpy=array([5.15117169, 2.59747813, 6.77702597, 2.56769994, 1.6346137 ])>","<Parameter: name=softplus, dtype=float64, shape=[5], fn=""softplus"", numpy=array([6.01227772, 3.06449248, 5.20593828, 1.49744482, 2.12502873])>","<Parameter: name=softplus, dtype=float64, shape=[5], fn=""softplus"", numpy=array([5.31276998, 2.39173217, 3.3514342 , 1.18384236, 1.4254881 ])>"
.kernel.kernels[1].variance,"<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.6525712921798983>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.5348077949208272>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.5602396077253375>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.642056588196381>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.7377010086881255>"
.kernel.kernels[1].lengthscales,"<Parameter: name=softplus, dtype=float64, shape=[1], fn=""softplus"", numpy=array([0.65051582])>","<Parameter: name=softplus, dtype=float64, shape=[1], fn=""softplus"", numpy=array([0.79094123])>","<Parameter: name=softplus, dtype=float64, shape=[1], fn=""softplus"", numpy=array([1.02696082])>","<Parameter: name=softplus, dtype=float64, shape=[1], fn=""softplus"", numpy=array([0.88278184])>","<Parameter: name=softplus, dtype=float64, shape=[1], fn=""softplus"", numpy=array([0.62605547])>"
.kernel.kernels[2].variance,"<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.7109933658272205>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.8062913203954014>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.7501161862829265>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.8362029827734686>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.8783314735878526>"
.kernel.kernels[2].lengthscales,"<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>"
.kernel.kernels[3].kernels[0].variance,"<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.0719504692441133>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.0639996097802158>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.0981886650354662>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.0253784309121141>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.9767663397066138>"
.kernel.kernels[3].kernels[1].variance,"<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.0719504692441144>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.0639996097802153>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.0981886650354662>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.02537843091212>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.9767663397066242>"
.kernel.kernels[3].kernels[1].lengthscales,"<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>"
.likelihood.variance,"<Parameter: name=chain_of_shift_of_softplus, dtype=float64, shape=[], fn=""chain_of_shift_of_softplus"", numpy=1.1693910623859305>","<Parameter: name=chain_of_shift_of_softplus, dtype=float64, shape=[], fn=""chain_of_shift_of_softplus"", numpy=1.0862837803126628>","<Parameter: name=chain_of_shift_of_softplus, dtype=float64, shape=[], fn=""chain_of_shift_of_softplus"", numpy=0.6816195597929274>","<Parameter: name=chain_of_shift_of_softplus, dtype=float64, shape=[], fn=""chain_of_shift_of_softplus"", numpy=0.8244463242550358>","<Parameter: name=chain_of_shift_of_softplus, dtype=float64, shape=[], fn=""chain_of_shift_of_softplus"", numpy=1.2268043407572904>"
.inducing_variable.Z,"<Parameter: name=identity, dtype=float64, shape=[500, 6], fn=""identity"", numpy=
array([[ 1.63000000e+02, -1.48282372e+00,  4.66001230e-01,
        -1.99180714e+00,  1.37223438e+00,  1.00000000e+00],
       [ 1.98000000e+02, -4.56289123e-01,  9.80350404e-01,
         5.51687151e-01,  5.38037947e-01,  1.00000000e+00],
       [ 2.37000000e+02,  6.87563717e-01,  2.43949116e-01,
        -1.87684671e+00,  8.40114258e-01,  1.00000000e+00],
       ...,
       [ 2.14000000e+02,  1.29838368e-02, -9.82243777e-01,
         6.05450268e-01, -7.88639377e-01,  1.00000000e+00],
       [ 2.63000000e+02,  1.45013228e+00,  9.80350404e-01,
         5.51687151e-01,  5.38037947e-01,  1.00000000e+00],
       [ 2.31000000e+02,  5.11586357e-01, -1.19646525e+00,
         1.93296387e-01, -8.58399357e-01, -1.00000000e+00]])>","<Parameter: name=identity, dtype=float64, shape=[500, 6], fn=""identity"", numpy=
array([[ 2.69000000e+02,  1.60287727e+00,  5.57938517e-01,
         5.76722100e-01,  1.84496360e-01, -1.00000000e+00],
       [ 1.81000000e+02, -9.89762240e-01,  2.01716872e-01,
         6.03088881e-01, -3.88735695e-01,  1.00000000e+00],
       [ 1.59000000e+02, -1.63792212e+00, -1.32759174e-01,
         4.51911691e-01, -6.15705922e-01,  1.00000000e+00],
       ...,
       [ 2.29000000e+02,  4.24404767e-01, -1.16241915e+00,
         6.72824976e-01, -7.85342315e-01,  1.00000000e+00],
       [ 2.71000000e+02,  1.66180090e+00,  1.64016706e-01,
         9.89947984e-01, -4.42181409e-01, -1.00000000e+00],
       [ 2.71000000e+02,  1.66180090e+00, -1.50348933e-01,
        -1.02525505e+00, -5.89294668e-02, -1.00000000e+00]])>","<Parameter: name=identity, dtype=float64, shape=[500, 6], fn=""identity"", numpy=
array([[ 2.47000000e+02,  9.52424223e-01,  6.11163694e-01,
        -6.30227427e-01,  5.69391008e-01,  1.00000000e+00],
       [ 2.43000000e+02,  8.34270685e-01, -9.00624102e-01,
         8.24129042e-01, -9.67761496e-01, -1.00000000e+00],
       [ 2.10000000e+02, -1.40495999e-01, -1.30995293e+00,
         4.42479199e-01, -8.45837256e-01, -1.00000000e+00],
       ...,
       [ 1.96000000e+02, -5.54033381e-01,  6.29059170e-01,
        -1.82779140e+00,  1.75145161e+00, -1.00000000e+00],
       [ 2.32000000e+02,  5.09348457e-01,  5.14574276e-01,
         6.85989008e-01, -2.57454558e-01, -1.00000000e+00],
       [ 2.60000000e+02,  1.33642322e+00, -9.00624102e-01,
         8.24129042e-01, -9.67761496e-01, -1.00000000e+00]])>","<Parameter: name=identity, dtype=float64, shape=[500, 6], fn=""identity"", numpy=
array([[ 2.60000000e+02,  1.34804615e+00, -1.22752806e+00,
         3.42029897e-01, -8.64921550e-01,  1.00000000e+00],
       [ 2.70000000e+02,  1.64102442e+00,  6.51338850e-01,
         6.91691087e-01,  9.64369121e-02,  1.00000000e+00],
       [ 1.92000000e+02, -6.44206091e-01, -8.68211821e-01,
         8.26176180e-01, -8.54717913e-01,  1.00000000e+00],
       ...,
       [ 2.55000000e+02,  1.20155702e+00, -1.01084117e+00,
         7.73964326e-01, -7.96651759e-01, -1.00000000e+00],
       [ 2.38000000e+02,  7.03493956e-01, -4.09603616e-01,
        -6.66344497e-01, -6.33064377e-01, -1.00000000e+00],
       [ 2.55000000e+02,  1.20155702e+00,  6.51338850e-01,
         6.91691087e-01,  9.64369121e-02, -1.00000000e+00]])>","<Parameter: name=identity, dtype=float64, shape=[500, 6], fn=""identity"", numpy=
array([[ 2.25000000e+02,  3.29692499e-01,  1.57541124e-01,
        -1.43523781e+00,  9.71944114e-01,  1.00000000e+00],
       [ 1.89000000e+02, -7.26590293e-01,  3.49495999e+00,
         2.74821808e-01,  3.77722272e+00, -1.00000000e+00],
       [ 1.88000000e+02, -7.55931482e-01, -3.28026154e-01,
        -3.13068290e-01, -4.61694186e-01,  1.00000000e+00],
       ...,
       [ 1.58000000e+02, -1.63616714e+00,  1.02930580e-01,
         2.57907507e-01, -4.71807873e-01,  1.00000000e+00],
       [ 1.53000000e+02, -1.78287309e+00, -2.00035460e-01,
         1.20642433e+00, -1.01456853e+00, -1.00000000e+00],
       [ 1.70000000e+02, -1.28407288e+00,  1.93229285e-01,
         8.88679198e-01, -4.37911040e-01,  1.00000000e+00]])>"
