,5.1_matern32_rbf_intra_sin_lfbgs_0_2020,5.1_matern32_rbf_intra_sin_lfbgs_1_2020,5.1_matern32_rbf_intra_sin_lfbgs_2_2020,5.1_matern32_rbf_intra_sin_lfbgs_3_2020,5.1_matern32_rbf_intra_sin_lfbgs_4_2020
.kernel.kernels[0].variance,"<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.4215304992571165>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.4382869581738795>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.6214364353072024>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.2986022687248597>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.342910917835636>"
.kernel.kernels[0].lengthscales,"<Parameter: name=softplus, dtype=float64, shape=[5], fn=""softplus"", numpy=array([6.57409863, 2.41171418, 0.77922171, 3.41828373, 1.71869809])>","<Parameter: name=softplus, dtype=float64, shape=[5], fn=""softplus"", numpy=array([6.30812603, 2.3997101 , 2.91832421, 1.32796383, 1.78278975])>","<Parameter: name=softplus, dtype=float64, shape=[5], fn=""softplus"", numpy=array([6.53829229, 2.36123653, 4.00745049, 1.02719287, 1.78448267])>","<Parameter: name=softplus, dtype=float64, shape=[5], fn=""softplus"", numpy=array([5.95855485, 1.80265264, 1.59472746, 1.69287895, 2.31556043])>","<Parameter: name=softplus, dtype=float64, shape=[5], fn=""softplus"", numpy=array([6.63156869, 2.14186208, 0.99289388, 0.92284564, 2.03988016])>"
.kernel.kernels[1].variance,"<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.7277756954161017>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.7864087544783593>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.8022877834650808>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.7906488006848775>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.938931420902846>"
.kernel.kernels[1].lengthscales,"<Parameter: name=softplus, dtype=float64, shape=[1], fn=""softplus"", numpy=array([0.48116419])>","<Parameter: name=softplus, dtype=float64, shape=[1], fn=""softplus"", numpy=array([0.52866513])>","<Parameter: name=softplus, dtype=float64, shape=[1], fn=""softplus"", numpy=array([0.71546005])>","<Parameter: name=softplus, dtype=float64, shape=[1], fn=""softplus"", numpy=array([0.71125603])>","<Parameter: name=softplus, dtype=float64, shape=[1], fn=""softplus"", numpy=array([0.47744148])>"
.kernel.kernels[2].variance,"<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.4031829038613605>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.5025460572788114>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.5348503620168226>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.5087735549808124>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.5373932580924922>"
.kernel.kernels[2].lengthscales,"<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>"
.kernel.kernels[3].kernels[0].variance,"<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.8121882950371038>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.9411291285821256>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.8324447796020321>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.1422682639376582>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.8513942954740495>"
.kernel.kernels[3].kernels[1].variance,"<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.8121882950371101>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.9411291285821212>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.832444779602037>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.142268263937654>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.8513942954740716>"
.kernel.kernels[3].kernels[1].lengthscales,"<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>"
.likelihood.variance,"<Parameter: name=chain_of_shift_of_softplus, dtype=float64, shape=[], fn=""chain_of_shift_of_softplus"", numpy=1.054472293411182>","<Parameter: name=chain_of_shift_of_softplus, dtype=float64, shape=[], fn=""chain_of_shift_of_softplus"", numpy=0.8838049370477847>","<Parameter: name=chain_of_shift_of_softplus, dtype=float64, shape=[], fn=""chain_of_shift_of_softplus"", numpy=0.9602109202769901>","<Parameter: name=chain_of_shift_of_softplus, dtype=float64, shape=[], fn=""chain_of_shift_of_softplus"", numpy=1.0303852950523733>","<Parameter: name=chain_of_shift_of_softplus, dtype=float64, shape=[], fn=""chain_of_shift_of_softplus"", numpy=1.1550017089559421>"
