,4.6_rbf_matern32_sin_lin_sin_lfbgs_0_0,4.6_rbf_matern32_sin_lin_sin_lfbgs_1_0,4.6_rbf_matern32_sin_lin_sin_lfbgs_2_0,4.6_rbf_matern32_sin_lin_sin_lfbgs_3_0,4.6_rbf_matern32_sin_lin_sin_lfbgs_4_0
.kernel.kernels[0].variance,"<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.7624162342636911>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.8455578243489676>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.8905589571054291>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.7242961554401158>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.8381757453180332>"
.kernel.kernels[0].lengthscales,"<Parameter: name=softplus, dtype=float64, shape=[9], fn=""softplus"", numpy=
array([1.29103334, 1.59714984, 1.51914784, 1.77822241, 1.99892505,
       2.43712937, 1.94318049, 1.71448563, 1.50652083])>","<Parameter: name=softplus, dtype=float64, shape=[9], fn=""softplus"", numpy=
array([1.29698161, 1.30844321, 1.13899622, 1.29761731, 2.23217572,
       1.82551679, 1.87428929, 1.89319722, 1.73058248])>","<Parameter: name=softplus, dtype=float64, shape=[9], fn=""softplus"", numpy=
array([1.1864522 , 1.63176186, 1.49080269, 1.32042918, 1.78851005,
       1.9862511 , 1.90280948, 1.86868748, 1.51281734])>","<Parameter: name=softplus, dtype=float64, shape=[9], fn=""softplus"", numpy=
array([1.09693862, 1.94770112, 1.27189279, 1.29580907, 2.12137361,
       2.24653614, 2.13119565, 2.06185086, 1.65641999])>","<Parameter: name=softplus, dtype=float64, shape=[9], fn=""softplus"", numpy=
array([1.31866221, 1.73921347, 1.32274787, 1.27826333, 2.12959051,
       2.52840547, 2.03818198, 1.78943897, 1.83984725])>"
.kernel.kernels[1].variance,"<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.4868064250022551>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.496280009804261>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.5643779273755348>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.48062126334472144>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.4849230736256856>"
.kernel.kernels[1].lengthscales,"<Parameter: name=softplus, dtype=float64, shape=[9], fn=""softplus"", numpy=
array([0.66998701, 3.87428274, 2.95376419, 3.72321393, 1.97669565,
       2.56804384, 1.53782319, 1.43744554, 1.961855  ])>","<Parameter: name=softplus, dtype=float64, shape=[9], fn=""softplus"", numpy=
array([0.94766025, 2.91202542, 2.25710723, 2.82326558, 1.99997967,
       2.21822879, 1.67648661, 2.28395363, 2.37997368])>","<Parameter: name=softplus, dtype=float64, shape=[9], fn=""softplus"", numpy=
array([0.78205385, 3.16111241, 2.02753239, 2.83025208, 1.77902095,
       2.68000414, 1.87401434, 1.79332845, 2.63665507])>","<Parameter: name=softplus, dtype=float64, shape=[9], fn=""softplus"", numpy=
array([0.80536597, 2.89840815, 2.56632392, 2.88363366, 2.105235  ,
       2.47138215, 1.89278799, 2.00458762, 2.17854634])>","<Parameter: name=softplus, dtype=float64, shape=[9], fn=""softplus"", numpy=
array([0.75857022, 3.08707106, 2.90914335, 3.26610415, 1.79198446,
       2.52063017, 1.68301085, 1.73651935, 1.9841693 ])>"
.kernel.kernels[2].kernels[0].variance,"<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.7987086304729204>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.6958855770590391>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.8557246797945653>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.8797486690844275>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.726731029783161>"
.kernel.kernels[2].kernels[1].variance,"<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.0>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.0>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.0>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.0>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.0>"
.kernel.kernels[2].kernels[1].lengthscales,"<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>"
.kernel.kernels[3].kernels[0].variance,"<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.8993674653945475>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.8393196099054266>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.8217329061638463>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.7384817426641906>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.8014512741680911>"
.kernel.kernels[3].kernels[1].variance,"<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.0>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.0>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.0>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.0>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.0>"
.kernel.kernels[3].kernels[1].lengthscales,"<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>"
