,Code,RMSE,Wghted RMSE,Cont RMSE,Discrete RMSE,y_std,Epoch
0,4.3_rbf_lin_matern32_sin_lfbgs_0_0,2.0350338140058692,2.190760071617016,1.5828089841071127,2.6633766355160127,2.5546222322706225,40
0,4.3_rbf_lin_matern32_sin_lfbgs_1_0,1.8542504823565984,1.8630600985166748,1.892268674250003,1.8333862456727603,2.8581142099596284,40
0,4.3_rbf_lin_matern32_sin_lfbgs_2_0,1.4247767588984197,1.5045267312389485,1.0644409738887581,1.8423264594343376,2.650686167332398,40
0,4.3_rbf_lin_matern32_sin_lfbgs_3_0,1.5035682195046005,1.6620817246436788,1.278613492598876,1.9723536334372482,2.5956903200392567,40
0,4.3_rbf_lin_matern32_sin_lfbgs_4_0,1.8287074647114017,1.7754271264283403,1.8740390743018587,1.6710058379625792,2.9356137917560208,40
