,4.7_rbf_matern32_sin_lin_sin_lfbgs_0_0,4.7_rbf_matern32_sin_lin_sin_lfbgs_1_0,4.7_rbf_matern32_sin_lin_sin_lfbgs_2_0,4.7_rbf_matern32_sin_lin_sin_lfbgs_3_0,4.7_rbf_matern32_sin_lin_sin_lfbgs_4_0
.kernel.kernels[3].kernels[1].variance,"<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.0>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.0>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.0>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.0>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.0>"
.kernel.kernels[3].kernels[1].lengthscales,"<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>"
.kernel.kernels[3].kernels[2].variance,"<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.9754747199582164>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.9754292485989143>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.9754549729752071>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.9754607896432381>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.9754858994920783>"
.kernel.kernels[3].kernels[2].lengthscales,"<Parameter: name=softplus, dtype=float64, shape=[1], fn=""softplus"", numpy=array([1.02645671])>","<Parameter: name=softplus, dtype=float64, shape=[1], fn=""softplus"", numpy=array([1.01799585])>","<Parameter: name=softplus, dtype=float64, shape=[1], fn=""softplus"", numpy=array([1.01579214])>","<Parameter: name=softplus, dtype=float64, shape=[1], fn=""softplus"", numpy=array([1.02668502])>","<Parameter: name=softplus, dtype=float64, shape=[1], fn=""softplus"", numpy=array([1.02709577])>"
.kernel.kernels[4].kernels[0].variance,"<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.9760352794091793>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.9757657878009839>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.975841543509589>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.9763540825299363>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.9759320798391163>"
.kernel.kernels[4].kernels[1].variance,"<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.0>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.0>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.0>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.0>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.0>"
.kernel.kernels[4].kernels[1].lengthscales,"<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>"
.kernel.kernels[4].kernels[2].variance,"<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.9754747199582164>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.9754292485989143>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.9754549729752071>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.9754607896432381>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.9754858994920783>"
.kernel.kernels[4].kernels[2].lengthscales,"<Parameter: name=softplus, dtype=float64, shape=[1], fn=""softplus"", numpy=array([1.02645671])>","<Parameter: name=softplus, dtype=float64, shape=[1], fn=""softplus"", numpy=array([1.01799585])>","<Parameter: name=softplus, dtype=float64, shape=[1], fn=""softplus"", numpy=array([1.01579214])>","<Parameter: name=softplus, dtype=float64, shape=[1], fn=""softplus"", numpy=array([1.02668502])>","<Parameter: name=softplus, dtype=float64, shape=[1], fn=""softplus"", numpy=array([1.02709577])>"
.kernel.kernels[5].kernels[0].variance,"<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.9756256220886751>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.976063188538032>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.9756974848817442>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.9756601216280466>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.9759673680538923>"
.kernel.kernels[5].kernels[1].variance,"<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.0>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.0>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.0>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.0>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.0>"
.kernel.kernels[5].kernels[1].lengthscales,"<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>"
.kernel.kernels[5].kernels[2].variance,"<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.9754747199582164>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.9754292485989143>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.9754549729752071>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.9754607896432381>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.9754858994920783>"
.kernel.kernels[5].kernels[2].lengthscales,"<Parameter: name=softplus, dtype=float64, shape=[1], fn=""softplus"", numpy=array([1.02645671])>","<Parameter: name=softplus, dtype=float64, shape=[1], fn=""softplus"", numpy=array([1.01799585])>","<Parameter: name=softplus, dtype=float64, shape=[1], fn=""softplus"", numpy=array([1.01579214])>","<Parameter: name=softplus, dtype=float64, shape=[1], fn=""softplus"", numpy=array([1.02668502])>","<Parameter: name=softplus, dtype=float64, shape=[1], fn=""softplus"", numpy=array([1.02709577])>"
.kernel.kernels[6].kernels[0].variance,"<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.9767436114892507>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.9765443375346503>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.9763792818620632>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.9777446035917388>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.9762677261812207>"
.kernel.kernels[6].kernels[1].variance,"<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.0>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.0>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.0>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.0>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.0>"
.kernel.kernels[6].kernels[1].lengthscales,"<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>"
.kernel.kernels[6].kernels[2].variance,"<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.9754747199582164>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.9754292485989143>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.9754549729752071>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.9754607896432381>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.9754858994920783>"
.kernel.kernels[6].kernels[2].lengthscales,"<Parameter: name=softplus, dtype=float64, shape=[1], fn=""softplus"", numpy=array([1.02645671])>","<Parameter: name=softplus, dtype=float64, shape=[1], fn=""softplus"", numpy=array([1.01799585])>","<Parameter: name=softplus, dtype=float64, shape=[1], fn=""softplus"", numpy=array([1.01579214])>","<Parameter: name=softplus, dtype=float64, shape=[1], fn=""softplus"", numpy=array([1.02668502])>","<Parameter: name=softplus, dtype=float64, shape=[1], fn=""softplus"", numpy=array([1.02709577])>"
.kernel.kernels[7].variance,"<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.9761200567023912>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.9761456168991843>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.976132718750736>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.9760440986403269>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.9762420933684913>"
.kernel.kernels[7].lengthscales,"<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([1440.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([1440.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([1440.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([1440.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([1440.])>"
.likelihood.variance,"<Parameter: name=chain_of_shift_of_softplus, dtype=float64, shape=[], fn=""chain_of_shift_of_softplus"", numpy=1.0245648841090418>","<Parameter: name=chain_of_shift_of_softplus, dtype=float64, shape=[], fn=""chain_of_shift_of_softplus"", numpy=1.0245525063692302>","<Parameter: name=chain_of_shift_of_softplus, dtype=float64, shape=[], fn=""chain_of_shift_of_softplus"", numpy=1.024572345957836>","<Parameter: name=chain_of_shift_of_softplus, dtype=float64, shape=[], fn=""chain_of_shift_of_softplus"", numpy=1.0245930311367346>","<Parameter: name=chain_of_shift_of_softplus, dtype=float64, shape=[], fn=""chain_of_shift_of_softplus"", numpy=1.0245277283261778>"
