,4.6.4_rbf_matern32_sin_lin_sin_lfbgs_0_0,4.6.4_rbf_matern32_sin_lin_sin_lfbgs_1_0,4.6.4_rbf_matern32_sin_lin_sin_lfbgs_2_0,4.6.4_rbf_matern32_sin_lin_sin_lfbgs_3_0,4.6.4_rbf_matern32_sin_lin_sin_lfbgs_4_0
.kernel.kernels[4].kernels[0].variance,"<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.8734510850186915>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.8823192733891303>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.8841660565584254>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.8836398381256664>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.8809282598456285>"
.kernel.kernels[4].kernels[1].variance,"<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.0>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.0>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.0>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.0>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.0>"
.kernel.kernels[4].kernels[1].lengthscales,"<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>"
.kernel.kernels[5].kernels[0].variance,"<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.8907573003550565>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.884309883120269>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.8854739138923229>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.8854931416163206>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.8905226482289107>"
.kernel.kernels[5].kernels[1].variance,"<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.0>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.0>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.0>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.0>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.0>"
.kernel.kernels[5].kernels[1].lengthscales,"<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>"
.kernel.kernels[6].kernels[0].variance,"<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.8754139261366815>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.8684789986961622>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.8717325059099892>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.8799898411703839>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.8671255571513271>"
.kernel.kernels[6].kernels[1].variance,"<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.0>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.0>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.0>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.0>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.0>"
.kernel.kernels[6].kernels[1].lengthscales,"<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>"
.kernel.kernels[7].variance,"<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.9145726228939932>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.9159776952989079>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.9165781897660553>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.9109128521326821>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.9090800975050092>"
.kernel.kernels[7].lengthscales,"<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([1440.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([1440.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([1440.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([1440.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([1440.])>"
.likelihood.variance,"<Parameter: name=chain_of_shift_of_softplus, dtype=float64, shape=[], fn=""chain_of_shift_of_softplus"", numpy=1.1127678894869824>","<Parameter: name=chain_of_shift_of_softplus, dtype=float64, shape=[], fn=""chain_of_shift_of_softplus"", numpy=1.1123977830985468>","<Parameter: name=chain_of_shift_of_softplus, dtype=float64, shape=[], fn=""chain_of_shift_of_softplus"", numpy=1.1088444724818074>","<Parameter: name=chain_of_shift_of_softplus, dtype=float64, shape=[], fn=""chain_of_shift_of_softplus"", numpy=1.1137294382575704>","<Parameter: name=chain_of_shift_of_softplus, dtype=float64, shape=[], fn=""chain_of_shift_of_softplus"", numpy=1.1145271373960348>"
