,4.6.2_rbf_matern32_sin_lin_sin_lfbgs_0_0,4.6.2_rbf_matern32_sin_lin_sin_lfbgs_1_0,4.6.2_rbf_matern32_sin_lin_sin_lfbgs_2_0,4.6.2_rbf_matern32_sin_lin_sin_lfbgs_3_0,4.6.2_rbf_matern32_sin_lin_sin_lfbgs_4_0
.kernel.kernels[0].variance,"<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.7962666962331381>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.7547523951934779>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.7952372058570112>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.7701989295403764>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.7959159276635028>"
.kernel.kernels[0].lengthscales,"<Parameter: name=softplus, dtype=float64, shape=[9], fn=""softplus"", numpy=
array([1.07379173, 1.13568266, 1.89875731, 1.73760489, 1.84630005,
       1.99741023, 1.50609371, 1.7736404 , 1.83478905])>","<Parameter: name=softplus, dtype=float64, shape=[9], fn=""softplus"", numpy=
array([1.0603705 , 1.23270511, 1.78751219, 1.8483822 , 1.80382388,
       2.05050384, 1.4000214 , 1.66899954, 1.51580855])>","<Parameter: name=softplus, dtype=float64, shape=[9], fn=""softplus"", numpy=
array([1.12005979, 1.10158349, 1.52026574, 1.59864363, 1.79333823,
       1.94814218, 1.69236971, 1.71437005, 1.66983059])>","<Parameter: name=softplus, dtype=float64, shape=[9], fn=""softplus"", numpy=
array([0.98761133, 1.24015241, 1.76450818, 1.74453936, 1.83719169,
       2.13615759, 1.35454195, 1.60419629, 1.77970443])>","<Parameter: name=softplus, dtype=float64, shape=[9], fn=""softplus"", numpy=
array([1.07931097, 1.17682859, 1.81133122, 1.8266814 , 1.76645835,
       2.07860605, 1.44217519, 1.76201439, 1.66085215])>"
.kernel.kernels[1].variance,"<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.5246300605804676>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.4908579015862583>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.48473701504865824>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.5202683578011355>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.5082314088623701>"
.kernel.kernels[1].lengthscales,"<Parameter: name=softplus, dtype=float64, shape=[9], fn=""softplus"", numpy=
array([1.91098269, 1.354753  , 1.24640051, 1.62284052, 2.11866049,
       2.3585152 , 2.02541979, 2.18681739, 2.30397634])>","<Parameter: name=softplus, dtype=float64, shape=[9], fn=""softplus"", numpy=
array([1.70301468, 1.73846283, 1.78990925, 2.00734142, 1.96756995,
       2.17182892, 1.60928505, 1.7161092 , 1.65397848])>","<Parameter: name=softplus, dtype=float64, shape=[9], fn=""softplus"", numpy=
array([1.86361037, 1.49639493, 1.73886482, 1.79856331, 1.87845197,
       2.10953993, 1.96012063, 2.00585529, 1.8653306 ])>","<Parameter: name=softplus, dtype=float64, shape=[9], fn=""softplus"", numpy=
array([2.03751017, 1.40116708, 1.2676557 , 1.53127717, 2.11538506,
       2.47411312, 1.98763828, 2.05435581, 2.12471468])>","<Parameter: name=softplus, dtype=float64, shape=[9], fn=""softplus"", numpy=
array([2.3396047 , 1.56307729, 1.38125175, 1.53767976, 1.72794214,
       2.24488104, 2.13144633, 2.12945908, 2.10253939])>"
.kernel.kernels[2].kernels[0].variance,"<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.7818219169107221>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.7397865421492079>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.7961892680050785>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.7462120956523866>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.7800152774437534>"
.kernel.kernels[2].kernels[1].variance,"<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.0>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.0>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.0>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.0>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.0>"
.kernel.kernels[2].kernels[1].lengthscales,"<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>"
.kernel.kernels[3].kernels[0].variance,"<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.7855619409272323>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.7858410397189761>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.7838324805630451>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.7471929043010905>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.7458161422832166>"
