,RMSE,Wghted RMSE,Cont RMSE,Discrete RMSE,y_std,Training Time,Kernel,Optimizer,Fold,Year,Independent Vars,Area,Method,Spatial PCA,Model Name,Notes,Inducing Locations,Epochs/Fold,Inducing Variables
0,2.0350338140058692,2.190760071617016,1.5828089841071127,2.6633766355160127,2.5546222322706225,0 days 00:10:30.840820,rbf_lin_matern32_sin,lfbgs,0,0,"Day,Overall_Day,Latitude,Longitude,embay_dist,minute_of_day",ES,SVGP,False,4.3,Like 4.2 but now using linear kernel for overall time,1000,40,"[[ 1.98000000e+02  9.09692598e-02 -6.62109817e-01  6.71190004e-01
  -9.33642988e-01  6.00000000e+02]
 [ 1.65000000e+02 -1.55875291e+00  5.56371578e-01 -1.59546930e+00
   1.61325942e+00  4.39000000e+02]
 [ 2.21000000e+02  1.40698762e-01 -6.62109817e-01  6.71190004e-01
  -9.33642988e-01  6.00000000e+02]
 ...
 [ 1.88000000e+02  6.93477372e-02  7.95040308e-02  1.13984612e+00
  -8.33064439e-01  6.18000000e+02]
 [ 1.53000000e+02  1.57204356e+00  6.14791428e-01 -1.59788518e+00
   1.66895866e+00  4.20000000e+02]
 [ 2.54000000e+02  1.00123536e+00  6.14791428e-01 -1.59788518e+00
   1.66895866e+00  6.00000000e+02]]"
0,1.8542504823565984,1.8630600985166748,1.892268674250003,1.8333862456727603,2.8581142099596284,0 days 00:12:39.489918,rbf_lin_matern32_sin,lfbgs,1,0,"Day,Overall_Day,Latitude,Longitude,embay_dist,minute_of_day",ES,SVGP,False,4.3,Like 4.2 but now using linear kernel for overall time,1000,40,"[[ 2.02000000e+02 -6.30586468e-01 -1.14885741e+00  5.22132721e-01
  -9.66691828e-01  6.00000000e+02]
 [ 2.52000000e+02  2.62539912e-01 -1.14784341e+00  4.48603027e-01
  -1.11274247e+00  5.00000000e+02]
 [ 2.48000000e+02  1.82497305e+00  6.47700071e-01 -1.46295931e+00
   1.67977645e+00  4.20000000e+02]
 ...
 [ 2.06000000e+02  9.49063563e-01 -2.69671859e-01 -1.30038085e+00
  -3.58455465e-02  7.17000000e+02]
 [ 2.58000000e+02 -5.10068209e-01 -1.15461878e+00  4.50191396e-01
  -1.10871426e+00  6.00000000e+02]
 [ 2.48000000e+02 -5.31589327e-01 -7.77248837e-01  8.60391001e-01
  -1.09524973e+00  6.00000000e+02]]"
0,1.4247767588984197,1.5045267312389485,1.0644409738887581,1.8423264594343376,2.650686167332398,0 days 00:11:23.128308,rbf_lin_matern32_sin,lfbgs,2,0,"Day,Overall_Day,Latitude,Longitude,embay_dist,minute_of_day",ES,SVGP,False,4.3,Like 4.2 but now using linear kernel for overall time,1000,40,"[[ 2.33000000e+02 -6.40662487e-01 -1.24414945e+00  5.57655211e-01
  -1.12934220e+00  6.00000000e+02]
 [ 1.67000000e+02 -3.25699521e-03 -7.30794267e-02  1.36224483e+00
  -1.14896117e+00  6.08000000e+02]
 [ 2.29000000e+02  9.07017737e-01  2.73950013e-01  1.21531978e+00
  -1.13283476e+00  4.10000000e+02]
 ...
 [ 1.89000000e+02  4.36424055e-02  4.48392042e-01  1.75785805e-01
  -2.26248786e-01  7.06000000e+02]
 [ 2.22000000e+02 -6.64112187e-01  5.05577167e-01 -1.40778199e+00
   1.89670050e+00  6.00000000e+02]
 [ 1.74000000e+02  1.16655414e-02 -7.30794267e-02  1.36224483e+00
  -1.14896117e+00  6.10000000e+02]]"
0,1.5035682195046005,1.6620817246436788,1.278613492598876,1.9723536334372482,2.5956903200392567,0 days 00:11:55.023353,rbf_lin_matern32_sin,lfbgs,3,0,"Day,Overall_Day,Latitude,Longitude,embay_dist,minute_of_day",ES,SVGP,False,4.3,Like 4.2 but now using linear kernel for overall time,1000,40,"[[ 1.86000000e+02  8.69596207e-01  4.47989945e-01  9.10710723e-01
  -4.25507847e-01  6.00000000e+02]
 [ 2.59000000e+02  2.29578787e-01  4.47989945e-01  9.10710723e-01
  -4.25507847e-01  6.00000000e+02]
 [ 2.58000000e+02 -5.72634829e-01 -2.23275288e-01 -1.15284324e+00
  -2.20789167e-02  7.12000000e+02]
 ...
 [ 2.60000000e+02 -5.68251148e-01 -7.79537355e-01  1.03567321e+00
  -1.18008711e+00  6.00000000e+02]
 [ 2.66000000e+02 -1.35512188e+00  5.31770530e-01 -2.79948291e-01
   4.52873719e-01  4.20000000e+02]
 [ 1.79000000e+02  5.42315482e-02  5.31770530e-01 -2.79948291e-01
   4.52873719e-01  6.00000000e+02]]"
0,1.8287074647114017,1.7754271264283403,1.8740390743018587,1.6710058379625792,2.9356137917560208,0 days 00:11:23.194638,rbf_lin_matern32_sin,lfbgs,4,0,"Day,Overall_Day,Latitude,Longitude,embay_dist,minute_of_day",ES,SVGP,False,4.3,Like 4.2 but now using linear kernel for overall time,1000,40,"[[ 1.74000000e+02  1.73574362e+00  3.95502909e-01  9.04602433e-01
  -5.41459594e-01  3.88000000e+02]
 [ 1.81000000e+02  1.75157709e+00 -2.11037967e-01 -1.49581468e+00
   2.36461539e-01  4.20000000e+02]
 [ 2.72000000e+02 -5.19395158e-01 -2.80408830e-01 -1.51305705e+00
   1.30958146e-01  8.10000000e+02]
 ...
 [ 2.39000000e+02  2.31563793e-01  9.11747430e-02  5.16524695e-01
  -8.06807425e-01  6.00000000e+02]
 [ 2.04000000e+02  9.77998896e-01  6.00703189e-01  5.98734575e-01
   4.83344369e-02  4.30000000e+02]
 [ 1.81000000e+02 -1.55083275e+00  7.40569500e-02 -5.95058504e-01
   1.01188138e-02  4.20000000e+02]]"
