,4.6.4_mp_rbf_matern32_sin_lin_sin_lfbgs_0_0,4.6.4_mp_rbf_matern32_sin_lin_sin_lfbgs_1_0,4.6.4_mp_rbf_matern32_sin_lin_sin_lfbgs_2_0,4.6.4_mp_rbf_matern32_sin_lin_sin_lfbgs_3_0,4.6.4_mp_rbf_matern32_sin_lin_sin_lfbgs_4_0
.kernel.kernels[3].kernels[1].lengthscales,"<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>"
.kernel.kernels[4].kernels[0].variance,"<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.7282708651305877>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.7379201522749897>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.7478617451131817>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.7457891879631585>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.6576179708093888>"
.kernel.kernels[4].kernels[1].variance,"<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.0>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.0>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.0>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.0>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.0>"
.kernel.kernels[4].kernels[1].lengthscales,"<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>"
.kernel.kernels[5].kernels[0].variance,"<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.6674101419059187>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.7569128578200927>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.7029143308143814>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.6135980937143054>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.8244131520614891>"
.kernel.kernels[5].kernels[1].variance,"<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.0>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.0>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.0>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.0>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.0>"
.kernel.kernels[5].kernels[1].lengthscales,"<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>"
.kernel.kernels[6].kernels[0].variance,"<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.6081046021072584>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.6444721874828839>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.6858380893812153>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.6804419332694278>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.7377414788790583>"
.kernel.kernels[6].kernels[1].variance,"<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.0>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.0>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.0>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.0>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.0>"
.kernel.kernels[6].kernels[1].lengthscales,"<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>"
