,4.6.4_mp_rbf_matern32_sin_lin_sin_lfbgs_0_0,4.6.4_mp_rbf_matern32_sin_lin_sin_lfbgs_1_0,4.6.4_mp_rbf_matern32_sin_lin_sin_lfbgs_2_0,4.6.4_mp_rbf_matern32_sin_lin_sin_lfbgs_3_0,4.6.4_mp_rbf_matern32_sin_lin_sin_lfbgs_4_0
       [-4.12231849e-02],
       [-1.59952549e-01],
       [-3.28100728e-01],
       [-1.31247466e-01],
       [-2.28263310e-01],
       [ 5.04817540e-01],
       [ 6.80554542e-01],
       [-1.95738479e-01],
       [-4.85110161e-01],
       [-2.63878713e-01],
       [-3.30667844e-01],
       [-6.67233459e-01],
       [-1.25705213e-01],
       [ 5.37743931e-01],
       [ 4.15275803e-01],
       [ 6.25318856e-01],
       [ 1.13458384e-01],
       [ 3.12863400e-01],
       [ 1.96395863e-01],
       [ 4.72227638e-01],
       [-4.33881534e-01],
       [ 3.64793014e-01],
       [-1.28886761e-01],
       [ 3.87750972e-01],
       [ 4.61330298e-01],
       [-2.44383901e-02],
       [-1.34548503e-01],
       [-3.37823176e-02],
       [ 4.49249229e-02],
       [ 2.73359530e-01],
       [ 6.52402091e-01],
       [-2.10193788e-01],
       [-6.68639848e-03],
       [ 3.20048300e-01],
       [-1.39124605e-01],
       [-5.74562599e-01],
       [ 1.14694357e-01],
       [ 2.38319735e-02],
       [-2.87736019e-01],
       [-6.67432211e-01],
       [ 3.81640727e-01],
       [-5.00714366e-01],
       [-1.23936475e-01],
       [ 2.88779915e-01],
       [ 3.61804962e-01],
       [ 2.04000602e-01],
       [ 2.17513558e-01],
       [ 7.63313382e-03],
       [-2.95261879e-01],
       [ 4.39213341e-01],
       [ 2.96628172e-01],
       [ 1.38755641e-01],
       [-8.78641912e-02],
       [ 3.03234421e-01],
       [ 1.72600110e-01],
       [-2.08772714e-03],
       [ 9.80753007e-02],
       [-1.47258600e-01],
       [-8.82025185e-01],
       [ 6.87019870e-01],
       [-2.62797607e-02],
       [-9.25660262e-02],
       [ 3.43009308e-02],
       [-4.21900377e-01],
       [-1.03105957e-01],
       [ 4.27292103e-01],
       [ 3.18261739e-01],
       [ 4.31878654e-02],
       [ 3.48043079e-01],
       [-9.54770983e-02],
       [ 1.44435743e-01],
       [ 5.10731909e-01],
       [ 1.61635597e-01],
       [ 4.13761531e-01],
       [-1.19898241e-02],
       [-8.26778412e-01],
       [-1.47412874e-01],
       [ 3.80501549e-01],
       [ 1.18701707e-01],
       [ 5.03394849e-01],
       [-1.32599908e-03],
       [-2.07754004e-02],
       [-1.97547407e-02],
       [-2.78118013e-01],
       [ 6.55822461e-01],
       [ 2.96982619e-01],
       [-6.50081849e-01],
       [ 3.11125860e-01],
       [-1.02023568e-01],
       [-3.54975488e-02],
       [-9.99654503e-02],
       [ 3.24661768e-01],
       [ 1.89088234e-01],
       [ 7.67152661e-02],
       [-5.20621991e-02],
       [-1.07776444e-01],
       [-5.67630069e-01],
       [-1.78961959e-01],
       [-2.96604881e-03],
       [-4.80042593e-02],
       [ 7.12611880e-01],
       [ 1.19449101e-01],
       [-8.07447096e-01],
       [-7.40921259e-02],
       [ 1.22278400e-03],
       [-4.99583607e-01],
       [ 1.87742815e-01],
       [-1.78770867e-01],
       [ 4.54700603e-01],
       [-2.35077912e-01],
       [ 1.16598084e-01],
       [ 3.43487907e-02],
       [ 2.06646319e-01],
       [-1.28063593e-01],
       [ 1.35705760e-01],
       [ 1.26861046e-01],
       [-4.60164231e-01],
       [ 2.85805248e-02],
       [-4.08701222e-01],
       [-3.43898178e-01],
       [ 2.37330390e-02],
       [ 5.38441390e-01],
       [ 1.08992415e-01],
       [-3.62334561e-02],
       [-3.08961492e-02],
       [-3.19683962e-03],
       [-2.25458654e-02],
       [ 2.45106678e-02],
       [ 5.88672767e-02],
       [ 3.35003487e-01],
       [ 1.84960532e-01],
       [ 6.73944676e-01],
       [ 2.66313966e-01],
       [-3.75476715e-02],
       [ 6.31731262e-02],
       [ 2.18990807e-02],
       [ 5.80877436e-01],
       [-9.85950748e-02],
       [ 2.62203183e-01],
       [ 1.95315109e-01],
       [-1.50621890e-02],
       [ 2.97207271e-01],
       [-2.63941796e-01],
       [ 3.06552723e-02],
       [-9.45948455e-02],
       [-2.15685515e-04],
       [ 2.53891727e-01],
       [-6.01915708e-02],
       [ 8.74747133e-04],
       [ 4.63905741e-04],
       [ 2.05131002e-01],
       [ 8.39756924e-01],
       [ 4.39873947e-01],
       [-5.67672965e-03],
       [-1.48691867e-01],
       [-3.83032381e-01],
       [-1.05387356e-01],
       [-9.26096061e-02],
       [-6.70093742e-01],
       [-5.58782341e-02],
       [ 5.15387109e-01],
       [-4.38091107e-01],
       [ 2.00160319e-01],
       [-8.98172038e-02],
       [ 9.09606030e-01],
       [ 2.28058093e-01],
       [-5.30086532e-01],
       [ 4.79470314e-03],
       [-3.68342516e-01],
       [-4.38187476e-01],
       [ 3.93902450e-01],
       [ 3.08528496e-01],
       [ 4.36128116e-02],
       [-1.43515953e-01],
       [-6.15574577e-01],
       [ 3.63243074e-02],
       [-2.71624916e-01],
       [ 6.10393083e-02],
       [-3.34211092e-02],
       [ 4.24069228e-01],
       [ 8.25554605e-04],
       [ 1.98307672e-01],
       [-1.51039389e-02],
       [-3.18479314e-01],
       [-3.25926033e-01],
       [ 2.58250650e-01],
       [ 3.40563782e-01],
       [ 1.26642149e-01],
       [ 3.03471478e-01],
       [ 5.66629912e-02],
       [-8.04899605e-03],
       [ 3.29317592e-02],
       [ 1.84452116e-02],
       [-3.91223563e-01],
       [ 2.68289860e-01],
       [-2.38108074e-01],
       [ 1.14354437e-02],
       [-4.19601087e-01],
       [ 2.48235584e-01],
       [-4.18355204e-01],
       [ 2.08114199e-01],
       [ 2.88186795e-01],
       [-3.24372373e-01],
       [-1.45115177e-01],
       [-9.40796410e-03],
       [ 2.66707421e-01],
       [ 2.70523261e-02],
       [ 2.62483008e-02],
       [ 4.54611769e-03],
       [-4.55911635e-01],
       [-2.49058175e-03],
       [-6.03004351e-01],
       [-4.88167848e-02],
       [-4.27813591e-02],
       [ 6.68459620e-01],
       [ 7.62969962e-01],
       [ 6.39310468e-01],
       [-2.72590592e-02],
       [ 2.75739967e-02],
       [-3.48296596e-01],
       [ 2.96204767e-01],
       [-1.02878862e-02],
       [-7.58693277e-02],
       [ 3.39515449e-01],
       [ 7.97479117e-01],
       [ 4.21869191e-01],
       [ 6.62001783e-02],
       [-3.46320623e-02],
       [-1.25336370e-01],
       [ 4.32230599e-02],
       [ 1.19267259e-01],
       [-1.15854137e-01],
       [ 8.32004768e-02],
       [-7.29738156e-01],
       [-9.60558548e-02],
       [-2.39415623e-01],
       [-2.47336012e-01],
       [-1.33268188e-01],
       [ 8.34133755e-01],
       [-2.98932324e-01],
       [ 1.32475231e-01],
       [ 1.20206017e-01],
       [ 2.17503073e-01],
       [-9.11778203e-02],
       [ 9.55931289e-03],
       [-4.59635339e-01],
       [-4.95186714e-01],
       [ 3.46871948e-03],
       [-1.38765970e-01],
       [ 4.43932453e-01],
       [-3.62074640e-01],
       [-4.36813383e-01],
       [ 4.47018542e-01],
       [ 4.28070745e-01],
       [ 5.05511984e-02],
       [-3.23501302e-02],
       [ 1.24663504e-01],
       [-1.01864327e-01],
       [ 1.24324430e-01],
       [ 9.60132202e-01],
       [-3.24556721e-02],
       [-2.68290713e-02],
       [ 1.14886195e-01],
       [-1.25136717e-01],
       [ 1.40962342e-01],
       [ 3.41117134e-01],
       [ 3.31813073e-01],
       [-3.50421777e-01],
       [-3.29809086e-01],
       [-5.96910407e-02],
       [-7.64764869e-02],
       [-1.05537602e-01],
       [ 4.75942039e-01],
       [ 2.68340467e-02],
       [ 7.94041256e-01],
       [ 5.46568051e-01],
       [ 3.08649847e-01],
       [-1.28565969e-01],
       [ 1.98892886e-01],
       [ 2.22355645e-01],
       [ 3.33442207e-01],
       [ 2.36685803e-01],
       [-1.53648881e-01],
       [-1.47526287e-01],
       [ 1.22098115e-01],
       [-2.66906815e-01],
       [-4.24199584e-01],
       [ 2.30877246e-01],
       [-2.93674625e-01],
       [-4.64816394e-02],
       [-1.72037196e-01],
       [-1.65595471e-03],
       [ 1.87905552e-02],
       [ 5.89017135e-02],
       [ 4.88962569e-01],
       [ 6.04090831e-01],
       [-7.95585443e-02],
       [-1.24949542e-01],
       [-2.56339211e-01],
       [ 2.43012536e-01],
       [-3.87747773e-01],
       [-1.59420156e-02],
       [ 2.61456150e-01],
       [ 1.07502789e-01],
       [-1.57548512e-01],
       [-1.14211502e-03],
       [ 1.84403225e-01],
       [-1.86973541e-01],
       [-3.58867804e-01],
       [ 6.17326417e-01],
       [-4.38471725e-01],
       [-1.46108170e-01],
       [ 4.06954127e-02],
       [-3.19896518e-02],
       [ 9.31428993e-02],
       [ 3.44042590e-01],
       [ 9.48520023e-02],
       [ 1.52657263e-01],
       [ 2.64590934e-01],
       [ 3.67920612e-01],
       [-2.04942335e-01],
       [-2.74743744e-01],
       [-1.20376187e-01],
       [-2.92278317e-01],
       [-5.12577991e-02],
       [ 1.00304280e-01],
       [ 7.11403376e-01],
       [-3.20084816e-01],
       [-1.70839869e-03],
       [-1.47608208e-01],
       [-2.83172799e-01],
       [ 4.57683509e-02],
       [ 4.36268300e-01],
       [-1.51817474e-01],
       [-1.09134099e-01],
       [-9.63644875e-04],
       [ 3.93155782e-02],
       [-1.78587327e-02],
       [ 1.59526742e-01],
       [-1.28197509e-01],
       [ 6.80995535e-01],
       [-4.03095543e-01],
       [ 6.94980153e-02],
       [-3.30662565e-01],
       [ 1.16301051e-02],
       [ 3.37801128e-03],
       [ 2.83433286e-01],
       [-4.42022553e-01],
       [-2.57739637e-01],
       [ 3.96663001e-01],
       [-9.24206861e-03],
       [-3.59113088e-01],
       [ 7.99131362e-01],
       [ 1.75622428e-01],
       [ 1.71475213e-01],
       [-1.88504774e-01],
       [-1.38950451e-01],
       [ 2.73671827e-01],
       [-6.81209814e-01],
       [ 3.06926416e-01],
       [ 6.32614334e-02],
       [ 2.03366047e-01],
       [-6.79934031e-01],
       [-5.11825274e-01],
       [-2.40927799e-01],
       [-3.15404495e-01],
       [ 5.04106875e-01],
       [ 6.49152358e-02],
       [-1.10690711e-01],
       [-3.16907641e-01],
       [-3.73345707e-01],
       [ 2.17910472e-01],
       [-7.18566444e-01],
       [-1.23784363e-01],
       [-8.72810037e-02],
       [-5.89103284e-01],
       [-3.45512287e-02],
       [-7.29189116e-01],
       [ 2.45388005e-01],
       [-1.63892221e-01],
       [ 2.14060226e-01],
       [ 2.27183034e-01],
       [-1.29112475e-02],
       [ 7.51819062e-02],
       [ 1.47929795e-01],
       [ 4.42306841e-01],
       [ 5.28548041e-01],
       [-8.28898212e-03],
       [ 2.32791443e-01],
       [ 2.61050060e-02],
       [-2.33638299e-01],
       [ 8.97773744e-02],
       [ 4.04419082e-01],
       [ 2.25396752e-03],
       [ 2.80463997e-01],
       [-1.13840699e-01],
       [-9.96376311e-02],
       [-1.52119520e-02],
       [ 2.94261701e-03],
       [-1.48578522e-01],
       [-6.22980680e-02],
       [-9.11113297e-03],
       [-4.17871589e-02],
       [ 2.58273288e-02],
       [ 6.67028406e-02],
       [-4.33421103e-01],
       [ 8.58146758e-02],
       [-1.32959437e-01],
       [-4.81067285e-01],
       [ 1.82234225e-01],
       [-4.43583113e-01],
       [ 3.14684534e-01],
       [-5.60041688e-01],
       [-5.61674311e-01],
       [ 5.15709231e-02],
       [ 1.99397967e-01],
       [ 8.95509418e-02],
       [-2.12029157e-02],
       [ 8.05578782e-02],
       [-7.13408542e-02],
       [ 1.13545414e-03],
       [ 1.89843690e-02],
       [ 6.09455194e-01],
       [ 3.91417393e-01],
       [-2.45555870e-01],
       [ 3.20499086e-01],
       [-4.30738640e-01],
       [ 2.05515597e-01],
       [ 5.68927570e-03],
       [-7.92096528e-02],
       [ 4.03474700e-01],
       [-4.69342781e-02],
       [ 9.87222039e-02],
       [-1.12053579e-02],
       [ 3.20602198e-01],
       [ 1.22612399e-01],
       [-2.84268800e-02],
       [ 7.15660058e-01],
       [ 1.99342873e-02],
       [-1.53324475e-01],
       [ 1.36158253e-01],
       [ 1.94824099e-02],
       [ 3.85437844e-01],
       [-1.21976403e-01],
       [-1.26534077e-01],
       [-8.99689562e-01],
       [ 1.09004225e-01],
       [-2.32107649e-01],
       [-3.47469100e-01],
       [-2.18489135e-01],
       [ 4.33251040e-02],
       [ 2.17051916e-01],
       [ 1.67579945e-01],
       [ 8.71962971e-02],
       [ 1.29631250e-02],
       [-6.06674459e-01],
       [-2.64095419e-01],
       [ 1.37813671e-01],
       [-9.83074591e-01],
       [ 2.96993149e-02],
       [ 3.30037567e-02],
       [-5.65129616e-02],
       [-8.12364925e-03],
       [-1.17838105e-02],
       [ 1.41593521e-01],
       [-1.72691985e-01],
       [-1.16790429e-01],
       [ 5.10626934e-02],
       [ 1.52965490e-01],
       [-5.68047041e-02],
       [ 5.35246427e-01],
       [-1.84922025e-04],
       [ 1.27804275e-01],
       [-3.42932524e-01],
       [-5.65431716e-01],
       [-3.18926022e-02],
       [ 9.06135615e-03],
       [ 1.27773417e-02],
       [-1.73332027e-01],
       [ 8.69288582e-02],
       [ 9.34554874e-05],
       [ 2.07068974e-01],
       [-1.98809415e-01],
       [ 2.05259042e-01],
       [ 4.09094850e-03],
       [-2.88888777e-01],
       [ 2.03110358e-02],
       [ 4.56199091e-01],
       [-7.13384372e-01],
       [ 4.09899767e-01],
       [ 6.55007849e-02],
       [-8.13235951e-02],
       [-1.29181992e-01],
       [ 6.50916059e-02],
       [ 4.14081549e-02],
       [ 2.45028895e-01],
       [ 8.61360531e-02],
       [ 1.58293265e-01],
       [ 2.06282360e-01],
       [ 1.98450711e-01],
       [-4.00114619e-01],
       [-1.26027330e-01],
       [ 1.28495415e-01],
       [-4.07009696e-02],
       [-2.05032697e-01],
       [ 2.90711040e-01],
       [-8.81865949e-02],
       [-8.74305684e-02],
       [-1.28916870e-01],
       [-1.88841198e-02],
       [ 3.97393608e-01],
       [ 1.99160582e-01],
       [ 4.94376140e-01],
       [ 1.08017098e-01],
       [ 1.65529670e-01],
       [-8.14382887e-03],
       [-2.64021682e-02],
       [-3.25695716e-01],
       [ 4.85663374e-02],
       [ 3.29355104e-01],
       [-7.23799363e-02],
       [-1.23659561e-02],
       [-5.04317934e-01],
       [-8.20509556e-01],
       [ 4.22113211e-01],
       [ 3.57392059e-02],
       [ 4.49517370e-01],
       [-1.36227258e-01],
       [ 5.35828683e-03],
       [-5.19204968e-02],
       [-4.20513815e-02],
       [ 3.15952677e-02],
       [-4.47714313e-01],
       [ 8.25450899e-02],
       [ 1.67675373e-01],
       [-1.24763332e-01],
       [ 2.04154512e-02],
       [ 5.19193878e-01],
       [-5.02266379e-02],
       [ 4.31331057e-01],
       [-2.37577309e-01],
       [-1.56643315e-01],
       [ 6.36861058e-01],
       [-8.07072136e-02],
       [ 1.57975849e-01],
       [ 7.53616647e-02],
       [ 9.81837784e-04],
       [-3.77902441e-01],
       [ 5.80166840e-02],
       [ 1.37101230e-02],
       [ 4.98194422e-02],
       [-1.26927392e-02],
       [ 7.24512345e-01],
       [-1.31871994e-01],
       [-6.97382098e-02],
       [-8.89211521e-02],
       [-5.76411732e-02],
       [-2.69665683e-01],
       [-7.51339528e-02],
       [ 4.60946591e-03],
       [ 4.63194910e-01],
       [ 1.79178603e-01],
       [-5.19845287e-02],
       [ 6.44763186e-02],
       [-1.23598043e-01],
       [ 6.12526225e-02],
       [-7.05677481e-01],
       [ 3.01311929e-01],
       [-5.74211213e-01],
       [ 2.03955502e-02],
       [ 7.75053924e-02],
       [ 5.59804114e-02],
       [ 7.97636732e-02],
       [-4.12403773e-01],
       [-1.01204927e-01],
       [ 9.77265347e-02],
       [ 2.58049048e-01],
       [-6.11241054e-02],
       [ 1.03362345e-01],
       [ 7.17438387e-03],
       [-2.15546209e-01],
       [-1.35797725e-01],
       [-5.79255564e-02],
       [-2.88561868e-03],
       [-1.07279706e-01],
       [-4.26167532e-01],
       [-1.06305548e-02],
       [ 1.24602641e-01],
       [ 3.78341410e-01],
       [-1.06168046e-02],
       [ 4.81321531e-02],
       [ 5.53803310e-01],
       [-8.13830134e-01],
       [ 2.26244733e-01],
       [ 1.18385772e-01],
       [-3.53410427e-02],
       [-9.35878770e-02],
       [ 1.09043652e-01],
       [-2.16664495e-02],
       [ 1.80748668e-01],
       [ 1.13066984e-01],
       [-1.41921318e-01],
       [-9.31438261e-03],
       [-3.11413962e-01],
       [ 4.59852521e-01],
       [-3.41020002e-02],
       [-4.97759794e-01],
       [-2.67991346e-01],
       [ 2.00754301e-01],
       [ 1.76384126e-01],
       [-2.47771554e-02],
       [ 2.10645088e-01],
       [ 2.36096996e-01],
       [-2.31614772e-01],
       [-9.64085922e-02],
       [ 2.68571500e-02],
       [ 5.84365802e-02],
       [ 8.91292685e-03],
       [-7.44977355e-02],
       [-8.94888535e-02],
       [ 3.85788843e-01],
       [ 6.76473541e-01],
       [ 7.16169499e-02],
       [-5.66497574e-01],
       [ 1.95260126e-02],
       [-3.24474316e-01],
       [ 1.33816580e-01],
       [ 1.14792506e-01],
       [ 3.17258910e-02],
       [ 1.64504245e-01],
       [-7.17322455e-02],
       [ 4.72219294e-02],
       [-1.72380626e-01],
       [-4.41024855e-01],
       [-2.60272046e-02],
       [ 5.29313850e-01],
       [ 1.12880833e-01],
       [-9.79784241e-02],
       [ 3.51080983e-01],
       [ 8.14337342e-02],
       [-3.30791803e-02],
       [ 2.37230790e-01]])>","<Parameter: name=identity, dtype=float64, shape=[1000, 1], fn=""identity"", numpy=
array([[-9.05291316e-01],
       [ 8.56625787e-01],
       [-2.86733513e-01],
       [ 2.68521575e-01],
       [-2.67030834e-02],
       [ 7.37588091e-01],
       [ 6.63313809e-01],
       [-4.39386110e-01],
       [ 5.74053964e-02],
       [ 8.15212657e-02],
       [ 1.79171423e-01],
       [-1.87258824e-01],
       [-9.16830873e-01],
       [-2.52805411e-01],
       [ 4.70679781e-01],
       [-2.70519163e-01],
       [-3.28722140e-02],
       [-7.79579618e-01],
       [ 1.44658693e-01],
       [ 7.90400513e-01],
       [-7.77920772e-02],
       [-3.20312686e-01],
       [-1.33786425e-01],
       [-8.07247088e-01],
       [ 6.53537299e-01],
       [-2.18903396e-01],
       [-6.29545039e-02],
       [-4.01508514e-01],
       [ 2.13579135e-01],
       [ 7.93768590e-02],
       [-1.30395171e-01],
       [ 2.19021777e-01],
       [ 5.69942808e-01],
       [ 4.71934265e-01],
       [-1.99170543e-01],
       [ 2.19925005e-01],
       [ 2.86260593e-01],
       [ 5.87182071e-01],
       [ 6.57134507e-01],
       [-1.44701146e-01],
       [ 1.83725529e-01],
       [-2.70063117e-01],
       [-3.20159214e-01],
       [-9.21971177e-02],
       [-4.25070010e-01],
       [-2.22139984e-03],
       [ 6.65509477e-02],
       [ 3.36934842e-01],
       [ 5.18658051e-01],
       [ 1.28625831e-01],
       [ 3.07779872e-01],
       [-2.80602737e-01],
       [ 1.85009974e-01],
       [ 2.83959615e-01],
       [ 1.66301213e-01],
       [ 3.42545772e-01],
       [-2.60752141e-01],
       [ 3.35517092e-01],
       [ 1.03025755e-01],
       [-3.58026927e-01],
       [ 4.28448282e-01],
       [-5.87840599e-01],
       [-3.08498747e-01],
       [ 4.25158201e-01],
       [-2.53750164e-01],
       [ 7.17556766e-01],
       [-7.17406008e-01],
       [-7.51771422e-01],
       [ 4.73591162e-01],
       [ 2.52779469e-01],
       [-5.96384351e-01],
       [-3.53726788e-01],
       [ 5.63563675e-01],
       [ 4.67896808e-01],
       [-1.45218154e-01],
       [ 3.23870564e-01],
       [-2.60954012e-01],
       [-5.86871776e-02],
       [ 2.26713066e-01],
       [ 4.66712679e-01],
       [-4.97451892e-01],
       [ 3.93374936e-01],
       [ 2.05349112e-01],
       [-2.30048897e-01],
       [-2.41003391e-01],
       [-7.98597667e-01],
       [-3.32174515e-01],
       [ 1.63147685e-02],
       [-3.44387305e-01],
       [-1.70470985e-02],
       [-1.68115272e-01],
       [-1.08133545e+00],
       [ 1.63753883e-01],
       [ 5.07121687e-01],
       [-1.51790355e-01],
       [ 1.06347977e+00],
       [-7.85803880e-02],
       [ 1.94829409e-02],
       [-3.53915771e-01],
       [ 1.42263645e-01],
       [ 2.70462698e-01],
       [-1.20510654e-01],
       [-6.15301716e-01],
       [ 7.25404974e-02],
       [-3.53499110e-01],
       [ 2.51482823e-01],
       [-4.03788222e-01],
       [ 4.57517982e-01],
       [-3.96896220e-01],
       [ 6.76673607e-01],
       [ 3.96835109e-01],
       [-4.70614635e-01],
       [ 3.20552694e-01],
       [-2.03330648e-01],
       [-1.43812966e+00],
       [-4.76410308e-01],
       [-5.44029213e-01],
       [ 3.33907623e-01],
       [-6.06004580e-01],
       [-1.28722712e-01],
       [-5.78303035e-01],
       [ 3.14809173e-01],
       [ 3.61692079e-01],
       [ 2.75520728e-01],
       [ 5.85158354e-02],
       [-6.00740285e-01],
       [ 3.73940013e-01],
       [-1.49398539e+00],
       [ 1.71819525e-01],
       [ 2.92880804e-01],
       [ 1.54368570e-01],
       [ 1.12187919e-01],
       [ 5.04958619e-01],
       [-3.21622463e-01],
       [ 1.19337693e-01],
       [-3.71671603e-01],
       [ 5.71195650e-02],
       [-2.69426198e-01],
       [-3.49866475e-01],
       [ 6.35315271e-01],
       [ 1.64178599e-01],
       [ 3.75689968e-01],
       [-5.71634734e-01],
       [ 3.77597385e-01],
       [ 8.31688967e-01],
       [ 1.26081585e-01],
       [ 1.63735960e-01],
       [-1.01220711e+00],
       [-2.65039343e-01],
       [-2.19906612e-01],
       [ 1.69392654e-01],
       [-8.46036924e-01],
       [-1.25998669e-01],
       [ 3.12927813e-01],
       [-2.35753675e-01],
       [-4.51712552e-01],
       [-4.78983047e-01],
       [-1.71428373e-01],
       [-1.36911975e+00],
       [-7.07214804e-01],
       [ 3.26243789e-02],
       [-3.19369013e-01],
       [ 1.38394592e-01],
       [ 7.44433194e-01],
       [ 2.23803632e-05],
       [ 8.92638016e-01],
       [-1.30540736e-01],
       [ 5.42377514e-01],
       [-4.12422247e-02],
       [-3.07971566e-02],
       [-4.48619750e-01],
       [ 2.61812410e-01],
       [ 7.83973693e-01],
       [-7.81163638e-01],
       [ 5.44676706e-01],
       [-2.37872587e-02],
       [-9.29251132e-01],
       [ 3.30252212e-01],
       [ 7.59236558e-02],
       [-3.54249798e-01],
       [-3.61195625e-01],
       [-3.12773801e-01],
       [ 1.43371479e-01],
       [ 3.20498043e-01],
       [ 4.64892133e-01],
       [-2.81989752e-02],
       [ 5.75774504e-01],
       [-6.13323814e-02],
       [-1.55771633e-01],
       [-2.53403365e-01],
       [ 2.07942905e-01],
       [ 8.11791911e-01],
       [ 2.02611581e-01],
       [-3.15917622e-01],
       [ 6.97394359e-01],
       [-2.50804787e-01],
       [-6.72587974e-01],
       [ 8.06953563e-02],
       [-5.22156368e-01],
       [ 2.40371057e-01],
       [ 2.01552532e-01],
       [ 2.87467535e-01],
       [-3.20748592e-01],
       [-7.73887295e-02],
       [ 6.47154075e-01],
       [ 1.00170628e+00],
       [-5.67582726e-01],
       [-5.41269268e-01],
       [-1.12007432e+00],
       [-9.54447887e-01],
       [-5.43292228e-01],
       [-9.00345376e-01],
       [-6.94326480e-01],
       [ 3.87413011e-04],
       [ 2.92006538e-01],
       [-4.05009513e-01],
       [ 4.17705104e-01],
       [ 4.12359640e-01],
       [ 2.87721860e-01],
       [ 5.51860948e-01],
       [ 6.86008521e-01],
       [-3.45285094e-01],
       [-5.47589888e-01],
       [ 1.04308874e-01],
       [ 4.04889224e-02],
       [-4.73315334e-01],
       [-4.79060221e-01],
       [-2.93147030e-01],
       [-7.39320338e-01],
       [ 2.37995040e-03],
       [-4.92504625e-02],
       [-8.85267293e-01],
       [-6.14266781e-01],
       [ 4.23094342e-02],
       [-5.22602778e-01],
       [-2.03295544e-01],
       [ 2.80006154e-01],
       [-9.05413023e-01],
       [-5.10243200e-02],
       [-8.49015276e-01],
       [ 1.21818958e-01],
       [-4.91670389e-01],
       [-5.92584779e-01],
       [-7.22739208e-02],
       [-5.81844293e-01],
       [-3.34599824e-01],
       [-1.20076579e+00],
       [-8.88319312e-01],
       [ 2.23527699e-01],
       [ 1.27414261e-01],
       [-1.92024541e-01],
       [-6.27927633e-02],
       [-4.91249919e-01],
       [-3.73724455e-02],
       [-1.24732217e+00],
       [ 4.64630076e-01],
       [ 4.01659267e-01],
       [-2.90335370e-01],
       [-5.07004799e-01],
       [ 4.02961837e-01],
       [ 3.97686270e-01],
       [-4.80184210e-01],
       [-5.12517842e-01],
       [ 6.90268007e-02],
       [-8.30410704e-02],
       [-9.04519895e-01],
       [ 4.95963034e-01],
       [-2.48660674e-01],
       [ 2.92483823e-01],
       [ 2.73712235e-02],
       [ 9.05041360e-02],
       [ 2.51644519e-01],
       [-2.87772041e-02],
       [-3.06857327e-01],
       [ 8.87231486e-01],
       [ 1.22805477e+00],
       [ 1.46434812e-01],
       [-5.85678172e-03],
       [ 5.74809001e-01],
       [-1.16294344e-01],
       [ 1.23423284e-01],
       [ 5.65742466e-01],
       [-9.57487070e-01],
       [-8.06477885e-02],
       [ 4.18404328e-01],
       [ 5.24666577e-01],
       [-3.34030514e-01],
       [ 1.34869166e+00],
       [-3.07862987e-02],
       [ 5.08580673e-01],
       [-2.96118849e-01],
       [-8.07878066e-01],
       [-2.21917345e-01],
       [-5.78328581e-02],
       [ 8.72467240e-01],
       [-5.55994073e-01],
       [ 3.25767809e-01],
       [ 4.08963806e-01],
       [ 2.84599979e-03],
       [-4.10021012e-01],
       [ 8.15426184e-02],
       [ 2.52928404e-01],
       [-1.42055043e-02],
       [-1.94048423e-01],
       [ 1.46769639e-01],
       [ 3.14866935e-01],
       [-2.65694359e-01],
       [-3.53554418e-01],
       [ 6.68188627e-01],
       [-4.60143337e-01],
       [-5.35729472e-01],
       [-1.35533098e-01],
       [ 1.02266224e+00],
       [ 6.32212497e-01],
       [ 2.59833981e-01],
       [ 6.10144614e-01],
       [ 5.79528142e-02],
       [ 5.30769219e-01],
       [ 3.53061444e-02],
       [ 1.15930024e+00],
       [-6.95830119e-01],
       [ 4.55472795e-01],
       [ 4.61634038e-01],
       [-4.76504186e-01],
       [-1.87334978e-02],
       [ 2.31645959e-01],
       [-1.55463493e-02],
       [ 1.39366159e-01],
       [ 4.80667618e-01],
       [-4.40041629e-02],
       [ 6.18032067e-01],
       [-7.82086311e-01],
       [ 5.86451346e-01],
       [ 2.91291118e-01],
       [-5.47164812e-02],
       [ 5.29998287e-01],
       [-5.65187372e-01],
       [-2.59989015e-01],
       [ 9.04056282e-02],
       [ 1.24653126e-01],
       [ 9.86818667e-03],
       [ 4.86537135e-02],
       [ 5.14844519e-01],
       [-8.73275386e-01],
       [ 1.17643771e-01],
       [-3.39916913e-01],
       [-5.62620293e-01],
       [-3.95701539e-01],
       [-9.22466032e-02],
       [ 2.82520208e-01],
       [-6.16233726e-01],
       [-3.78686920e-01],
       [ 5.68209000e-01],
       [ 6.28664797e-01],
       [-4.94732124e-01],
       [-4.95147269e-01],
       [ 1.05142044e+00],
       [-8.65722499e-02],
       [-7.85751328e-02],
       [ 1.01684910e-01],
       [-8.41109959e-01],
       [ 9.75451074e-01],
       [-3.16284819e-01],
       [ 2.49606243e-01],
       [-8.55074367e-01],
       [ 3.82680596e-01],
       [-3.37969528e-01],
       [-8.88200338e-02],
       [-2.47903696e-02],
       [-2.22562480e-01],
       [ 1.23304609e-01],
       [-1.47465322e-02],
       [-7.34023714e-01],
       [ 1.82450348e-03],
       [-3.34064381e-01],
       [-2.23067292e-01],
       [ 2.25478799e-01],
       [-3.86660776e-01],
