,0,1,2,3,Kernel,Optimizer,Fold,Year,Independent Vars,Area,Method,Spatial PCA,Model Name,Notes,Inducing Locations,Epochs/Fold,Inducing Variables
.kernel.kernels[0].variance,2.117389680527663,,,,rbf_lin_matern32_sin,lfbgs,0,0,"Day,Overall_Day,Latitude,Longitude,embay_dist,minute_of_day",ES,SVGP,False,4.3,Like 4.2 but now using linear kernel for overall time,1000,40,"[[ 1.98000000e+02  9.09692598e-02 -6.62109817e-01  6.71190004e-01
  -9.33642988e-01  6.00000000e+02]
 [ 1.65000000e+02 -1.55875291e+00  5.56371578e-01 -1.59546930e+00
   1.61325942e+00  4.39000000e+02]
 [ 2.21000000e+02  1.40698762e-01 -6.62109817e-01  6.71190004e-01
  -9.33642988e-01  6.00000000e+02]
 ...
 [ 1.88000000e+02  6.93477372e-02  7.95040308e-02  1.13984612e+00
  -8.33064439e-01  6.18000000e+02]
 [ 1.53000000e+02  1.57204356e+00  6.14791428e-01 -1.59788518e+00
   1.66895866e+00  4.20000000e+02]
 [ 2.54000000e+02  1.00123536e+00  6.14791428e-01 -1.59788518e+00
   1.66895866e+00  6.00000000e+02]]"
.kernel.kernels[0].lengthscales,3.6424936106724686,0.9824232845821985,2.29140121882458,1.4895801797505355,rbf_lin_matern32_sin,lfbgs,0,0,"Day,Overall_Day,Latitude,Longitude,embay_dist,minute_of_day",ES,SVGP,False,4.3,Like 4.2 but now using linear kernel for overall time,1000,40,"[[ 1.98000000e+02  9.09692598e-02 -6.62109817e-01  6.71190004e-01
  -9.33642988e-01  6.00000000e+02]
 [ 1.65000000e+02 -1.55875291e+00  5.56371578e-01 -1.59546930e+00
   1.61325942e+00  4.39000000e+02]
 [ 2.21000000e+02  1.40698762e-01 -6.62109817e-01  6.71190004e-01
  -9.33642988e-01  6.00000000e+02]
 ...
 [ 1.88000000e+02  6.93477372e-02  7.95040308e-02  1.13984612e+00
  -8.33064439e-01  6.18000000e+02]
 [ 1.53000000e+02  1.57204356e+00  6.14791428e-01 -1.59788518e+00
   1.66895866e+00  4.20000000e+02]
 [ 2.54000000e+02  1.00123536e+00  6.14791428e-01 -1.59788518e+00
   1.66895866e+00  6.00000000e+02]]"
.kernel.kernels[1].variance,1.3966513653050365,,,,rbf_lin_matern32_sin,lfbgs,0,0,"Day,Overall_Day,Latitude,Longitude,embay_dist,minute_of_day",ES,SVGP,False,4.3,Like 4.2 but now using linear kernel for overall time,1000,40,"[[ 1.98000000e+02  9.09692598e-02 -6.62109817e-01  6.71190004e-01
  -9.33642988e-01  6.00000000e+02]
 [ 1.65000000e+02 -1.55875291e+00  5.56371578e-01 -1.59546930e+00
   1.61325942e+00  4.39000000e+02]
 [ 2.21000000e+02  1.40698762e-01 -6.62109817e-01  6.71190004e-01
  -9.33642988e-01  6.00000000e+02]
 ...
 [ 1.88000000e+02  6.93477372e-02  7.95040308e-02  1.13984612e+00
  -8.33064439e-01  6.18000000e+02]
 [ 1.53000000e+02  1.57204356e+00  6.14791428e-01 -1.59788518e+00
   1.66895866e+00  4.20000000e+02]
 [ 2.54000000e+02  1.00123536e+00  6.14791428e-01 -1.59788518e+00
   1.66895866e+00  6.00000000e+02]]"
.kernel.kernels[1].lengthscales,3.578013505169289,2.1680104783382967,2.5018606865770194,2.1413885478100845,rbf_lin_matern32_sin,lfbgs,0,0,"Day,Overall_Day,Latitude,Longitude,embay_dist,minute_of_day",ES,SVGP,False,4.3,Like 4.2 but now using linear kernel for overall time,1000,40,"[[ 1.98000000e+02  9.09692598e-02 -6.62109817e-01  6.71190004e-01
  -9.33642988e-01  6.00000000e+02]
 [ 1.65000000e+02 -1.55875291e+00  5.56371578e-01 -1.59546930e+00
   1.61325942e+00  4.39000000e+02]
 [ 2.21000000e+02  1.40698762e-01 -6.62109817e-01  6.71190004e-01
  -9.33642988e-01  6.00000000e+02]
 ...
 [ 1.88000000e+02  6.93477372e-02  7.95040308e-02  1.13984612e+00
  -8.33064439e-01  6.18000000e+02]
 [ 1.53000000e+02  1.57204356e+00  6.14791428e-01 -1.59788518e+00
   1.66895866e+00  4.20000000e+02]
 [ 2.54000000e+02  1.00123536e+00  6.14791428e-01 -1.59788518e+00
   1.66895866e+00  6.00000000e+02]]"
.kernel.kernels[2].variance,0.8455756517264196,,,,rbf_lin_matern32_sin,lfbgs,0,0,"Day,Overall_Day,Latitude,Longitude,embay_dist,minute_of_day",ES,SVGP,False,4.3,Like 4.2 but now using linear kernel for overall time,1000,40,"[[ 1.98000000e+02  9.09692598e-02 -6.62109817e-01  6.71190004e-01
  -9.33642988e-01  6.00000000e+02]
 [ 1.65000000e+02 -1.55875291e+00  5.56371578e-01 -1.59546930e+00
   1.61325942e+00  4.39000000e+02]
 [ 2.21000000e+02  1.40698762e-01 -6.62109817e-01  6.71190004e-01
  -9.33642988e-01  6.00000000e+02]
 ...
 [ 1.88000000e+02  6.93477372e-02  7.95040308e-02  1.13984612e+00
  -8.33064439e-01  6.18000000e+02]
 [ 1.53000000e+02  1.57204356e+00  6.14791428e-01 -1.59788518e+00
   1.66895866e+00  4.20000000e+02]
 [ 2.54000000e+02  1.00123536e+00  6.14791428e-01 -1.59788518e+00
   1.66895866e+00  6.00000000e+02]]"
.kernel.kernels[3].variance,1.308817276544666,,,,rbf_lin_matern32_sin,lfbgs,0,0,"Day,Overall_Day,Latitude,Longitude,embay_dist,minute_of_day",ES,SVGP,False,4.3,Like 4.2 but now using linear kernel for overall time,1000,40,"[[ 1.98000000e+02  9.09692598e-02 -6.62109817e-01  6.71190004e-01
  -9.33642988e-01  6.00000000e+02]
 [ 1.65000000e+02 -1.55875291e+00  5.56371578e-01 -1.59546930e+00
   1.61325942e+00  4.39000000e+02]
 [ 2.21000000e+02  1.40698762e-01 -6.62109817e-01  6.71190004e-01
  -9.33642988e-01  6.00000000e+02]
 ...
 [ 1.88000000e+02  6.93477372e-02  7.95040308e-02  1.13984612e+00
  -8.33064439e-01  6.18000000e+02]
 [ 1.53000000e+02  1.57204356e+00  6.14791428e-01 -1.59788518e+00
   1.66895866e+00  4.20000000e+02]
 [ 2.54000000e+02  1.00123536e+00  6.14791428e-01 -1.59788518e+00
   1.66895866e+00  6.00000000e+02]]"
.kernel.kernels[3].lengthscales,365.0,,,,rbf_lin_matern32_sin,lfbgs,0,0,"Day,Overall_Day,Latitude,Longitude,embay_dist,minute_of_day",ES,SVGP,False,4.3,Like 4.2 but now using linear kernel for overall time,1000,40,"[[ 1.98000000e+02  9.09692598e-02 -6.62109817e-01  6.71190004e-01
  -9.33642988e-01  6.00000000e+02]
 [ 1.65000000e+02 -1.55875291e+00  5.56371578e-01 -1.59546930e+00
   1.61325942e+00  4.39000000e+02]
 [ 2.21000000e+02  1.40698762e-01 -6.62109817e-01  6.71190004e-01
  -9.33642988e-01  6.00000000e+02]
 ...
 [ 1.88000000e+02  6.93477372e-02  7.95040308e-02  1.13984612e+00
  -8.33064439e-01  6.18000000e+02]
 [ 1.53000000e+02  1.57204356e+00  6.14791428e-01 -1.59788518e+00
   1.66895866e+00  4.20000000e+02]
 [ 2.54000000e+02  1.00123536e+00  6.14791428e-01 -1.59788518e+00
   1.66895866e+00  6.00000000e+02]]"
.kernel.kernels[4].variance,1.1193033079504562,,,,rbf_lin_matern32_sin,lfbgs,0,0,"Day,Overall_Day,Latitude,Longitude,embay_dist,minute_of_day",ES,SVGP,False,4.3,Like 4.2 but now using linear kernel for overall time,1000,40,"[[ 1.98000000e+02  9.09692598e-02 -6.62109817e-01  6.71190004e-01
  -9.33642988e-01  6.00000000e+02]
 [ 1.65000000e+02 -1.55875291e+00  5.56371578e-01 -1.59546930e+00
   1.61325942e+00  4.39000000e+02]
 [ 2.21000000e+02  1.40698762e-01 -6.62109817e-01  6.71190004e-01
  -9.33642988e-01  6.00000000e+02]
 ...
 [ 1.88000000e+02  6.93477372e-02  7.95040308e-02  1.13984612e+00
  -8.33064439e-01  6.18000000e+02]
 [ 1.53000000e+02  1.57204356e+00  6.14791428e-01 -1.59788518e+00
   1.66895866e+00  4.20000000e+02]
 [ 2.54000000e+02  1.00123536e+00  6.14791428e-01 -1.59788518e+00
   1.66895866e+00  6.00000000e+02]]"
.kernel.kernels[4].lengthscales,1440.0,,,,rbf_lin_matern32_sin,lfbgs,0,0,"Day,Overall_Day,Latitude,Longitude,embay_dist,minute_of_day",ES,SVGP,False,4.3,Like 4.2 but now using linear kernel for overall time,1000,40,"[[ 1.98000000e+02  9.09692598e-02 -6.62109817e-01  6.71190004e-01
  -9.33642988e-01  6.00000000e+02]
 [ 1.65000000e+02 -1.55875291e+00  5.56371578e-01 -1.59546930e+00
   1.61325942e+00  4.39000000e+02]
 [ 2.21000000e+02  1.40698762e-01 -6.62109817e-01  6.71190004e-01
  -9.33642988e-01  6.00000000e+02]
 ...
 [ 1.88000000e+02  6.93477372e-02  7.95040308e-02  1.13984612e+00
  -8.33064439e-01  6.18000000e+02]
 [ 1.53000000e+02  1.57204356e+00  6.14791428e-01 -1.59788518e+00
   1.66895866e+00  4.20000000e+02]
 [ 2.54000000e+02  1.00123536e+00  6.14791428e-01 -1.59788518e+00
   1.66895866e+00  6.00000000e+02]]"
.kernel.kernels[0].variance,2.208341333262411,,,,rbf_lin_matern32_sin,lfbgs,1,0,"Day,Overall_Day,Latitude,Longitude,embay_dist,minute_of_day",ES,SVGP,False,4.3,Like 4.2 but now using linear kernel for overall time,1000,40,"[[ 2.02000000e+02 -6.30586468e-01 -1.14885741e+00  5.22132721e-01
  -9.66691828e-01  6.00000000e+02]
 [ 2.52000000e+02  2.62539912e-01 -1.14784341e+00  4.48603027e-01
  -1.11274247e+00  5.00000000e+02]
 [ 2.48000000e+02  1.82497305e+00  6.47700071e-01 -1.46295931e+00
   1.67977645e+00  4.20000000e+02]
 ...
 [ 2.06000000e+02  9.49063563e-01 -2.69671859e-01 -1.30038085e+00
  -3.58455465e-02  7.17000000e+02]
 [ 2.58000000e+02 -5.10068209e-01 -1.15461878e+00  4.50191396e-01
  -1.10871426e+00  6.00000000e+02]
 [ 2.48000000e+02 -5.31589327e-01 -7.77248837e-01  8.60391001e-01
  -1.09524973e+00  6.00000000e+02]]"
